task_id	name	status	exit	realtime	peak_vmem	peak_rss
1	check_inputs	COMPLETED	0	7.2s	774.2 MB	336 MB
4	perform_grna_precomputation (2)	COMPLETED	0	5.7s	875.4 MB	402.7 MB
2	perform_grna_precomputation (1)	COMPLETED	0	5.2s	875.4 MB	402.8 MB
5	perform_grna_precomputation (3)	COMPLETED	0	5.3s	886.4 MB	413.9 MB
8	perform_grna_precomputation (4)	COMPLETED	0	5.2s	875.4 MB	402.8 MB
9	perform_grna_precomputation (5)	COMPLETED	0	5.6s	886.4 MB	413.9 MB
12	perform_grna_precomputation (7)	COMPLETED	0	5.4s	886.4 MB	413.9 MB
11	perform_grna_precomputation (6)	COMPLETED	0	5.2s	886.4 MB	414 MB
18	perform_grna_precomputation (10)	COMPLETED	0	6.9s	845.5 MB	372.7 MB
14	perform_grna_precomputation (8)	COMPLETED	0	5.1s	886.4 MB	413.9 MB
21	perform_grna_precomputation (12)	COMPLETED	0	5.8s	834.5 MB	361.9 MB
23	perform_grna_precomputation (14)	COMPLETED	0	5s	886.4 MB	414 MB
20	perform_grna_precomputation (11)	COMPLETED	0	4.9s	886.4 MB	413.7 MB
15	perform_grna_precomputation (9)	COMPLETED	0	4.9s	886.4 MB	413.8 MB
22	perform_grna_precomputation (13)	COMPLETED	0	5.4s	886.4 MB	413.8 MB
28	perform_grna_precomputation (16)	COMPLETED	0	5s	886.4 MB	413.7 MB
30	perform_grna_precomputation (17)	COMPLETED	0	5.5s	875.4 MB	402.6 MB
32	perform_grna_precomputation (18)	COMPLETED	0	4.1s	845.5 MB	373 MB
24	perform_grna_precomputation (15)	COMPLETED	0	4.2s	845.5 MB	373 MB
40	perform_grna_precomputation (20)	COMPLETED	0	6.1s	886.4 MB	413.7 MB
41	perform_grna_precomputation (21)	COMPLETED	0	5.8s	845.5 MB	372.7 MB
36	perform_grna_precomputation (19)	COMPLETED	0	5.9s	886.4 MB	413.7 MB
45	perform_grna_precomputation (23)	COMPLETED	0	5.2s	886.4 MB	413.7 MB
42	perform_grna_precomputation (22)	COMPLETED	0	5.2s	886.4 MB	413.7 MB
47	perform_grna_precomputation (24)	COMPLETED	0	5.2s	886.4 MB	413.7 MB
50	perform_grna_precomputation (26)	COMPLETED	0	5.2s	886.4 MB	413.7 MB
49	perform_grna_precomputation (25)	COMPLETED	0	5.2s	886.4 MB	413.7 MB
51	perform_grna_precomputation (27)	COMPLETED	0	5.2s	884 MB	411.4 MB
53	perform_grna_precomputation (28)	COMPLETED	0	5.9s	801.4 MB	328.7 MB
55	perform_grna_precomputation (29)	COMPLETED	0	5.4s	886.4 MB	413.7 MB
57	perform_grna_precomputation (30)	COMPLETED	0	5s	886.4 MB	413.7 MB
58	perform_grna_precomputation (31)	COMPLETED	0	5s	801.4 MB	328.7 MB
61	perform_grna_precomputation (32)	COMPLETED	0	5s	801.4 MB	328.7 MB
64	perform_grna_precomputation (33)	COMPLETED	0	5.1s	875.4 MB	402.8 MB
66	perform_grna_precomputation (34)	COMPLETED	0	5.2s	886.4 MB	413.9 MB
70	perform_grna_precomputation (36)	COMPLETED	0	5.5s	886.4 MB	414 MB
71	perform_grna_precomputation (37)	COMPLETED	0	4.3s	845.5 MB	374.2 MB
67	perform_grna_precomputation (35)	COMPLETED	0	4.4s	834.5 MB	353.2 MB
75	perform_grna_precomputation (39)	COMPLETED	0	6.2s	845.5 MB	372.7 MB
78	perform_grna_precomputation (41)	COMPLETED	0	5s	755.3 MB	314.6 MB
76	perform_grna_precomputation (40)	COMPLETED	0	5.8s	845.5 MB	372.7 MB
79	perform_grna_precomputation (42)	COMPLETED	0	5s	801.4 MB	328.7 MB
81	perform_grna_precomputation (43)	COMPLETED	0	5.4s	845.5 MB	372.7 MB
82	perform_grna_precomputation (44)	COMPLETED	0	5.6s	853.4 MB	380.7 MB
84	perform_grna_precomputation (45)	COMPLETED	0	5.5s	845.5 MB	372.7 MB
73	perform_grna_precomputation (38)	COMPLETED	0	4.3s	845.5 MB	373 MB
85	perform_grna_precomputation (46)	COMPLETED	0	5.4s	886.4 MB	413.8 MB
86	perform_grna_precomputation (47)	COMPLETED	0	5.4s	875.4 MB	402.6 MB
91	perform_grna_precomputation (49)	COMPLETED	0	4.6s	886.4 MB	413.8 MB
88	perform_grna_precomputation (48)	COMPLETED	0	4.3s	845.5 MB	374 MB
92	perform_grna_precomputation (50)	COMPLETED	0	5.1s	801.4 MB	328.7 MB
95	perform_grna_precomputation (51)	COMPLETED	0	5.1s	886.4 MB	413.7 MB
153	join_grna_precomputations	COMPLETED	0	858ms	372.8 MB	43.9 MB
37	perform_gene_precomputation (17)	COMPLETED	0	34m 24s	1.1 GB	653.2 MB
38	perform_gene_precomputation (18)	COMPLETED	0	35m 51s	1.1 GB	674 MB
46	perform_gene_precomputation (22)	COMPLETED	0	35m 9s	1.1 GB	680.5 MB
3	perform_gene_precomputation (1)	COMPLETED	0	40m 44s	1.1 GB	676 MB
69	perform_gene_precomputation (33)	COMPLETED	0	35m 18s	1.2 GB	699.6 MB
72	perform_gene_precomputation (34)	COMPLETED	0	35m 23s	1.1 GB	691.9 MB
6	perform_gene_precomputation (2)	COMPLETED	0	43m 19s	1.1 GB	673.9 MB
93	perform_gene_precomputation (42)	COMPLETED	0	35m 17s	1.1 GB	650 MB
10	perform_gene_precomputation (4)	COMPLETED	0	43m 35s	1.1 GB	661.3 MB
16	perform_gene_precomputation (6)	COMPLETED	0	43m 12s	1.1 GB	675.2 MB
13	perform_gene_precomputation (5)	COMPLETED	0	42m 52s	1.1 GB	671.6 MB
25	perform_gene_precomputation (9)	COMPLETED	0	42m 48s	1.1 GB	694 MB
27	perform_gene_precomputation (11)	COMPLETED	0	41m 56s	1.1 GB	680.3 MB
90	perform_gene_precomputation (41)	COMPLETED	0	36m	1.1 GB	651.5 MB
26	perform_gene_precomputation (10)	COMPLETED	0	43m	1.1 GB	685.8 MB
34	perform_gene_precomputation (15)	COMPLETED	0	42m 50s	1.1 GB	686.1 MB
35	perform_gene_precomputation (16)	COMPLETED	0	42m 42s	1.1 GB	669.8 MB
33	perform_gene_precomputation (14)	COMPLETED	0	43m 40s	1.1 GB	673.7 MB
43	perform_gene_precomputation (20)	COMPLETED	0	42m 31s	1.1 GB	681.8 MB
52	perform_gene_precomputation (24)	COMPLETED	0	41m 51s	1.2 GB	717.3 MB
54	perform_gene_precomputation (25)	COMPLETED	0	42m 12s	1.1 GB	687.2 MB
63	perform_gene_precomputation (30)	COMPLETED	0	41m 10s	1.1 GB	666.7 MB
7	perform_gene_precomputation (3)	COMPLETED	0	46m 41s	1.1 GB	674.7 MB
17	perform_gene_precomputation (7)	COMPLETED	0	45m 49s	1.1 GB	672 MB
31	perform_gene_precomputation (13)	COMPLETED	0	44m 44s	1.1 GB	668.4 MB
44	perform_gene_precomputation (21)	COMPLETED	0	43m 55s	1.1 GB	684.7 MB
65	perform_gene_precomputation (31)	COMPLETED	0	41m 5s	1.1 GB	654.2 MB
62	perform_gene_precomputation (29)	COMPLETED	0	42m 50s	1.1 GB	686.1 MB
68	perform_gene_precomputation (32)	COMPLETED	0	41m 33s	1.1 GB	683.6 MB
