"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"1",1,1.23291834300133,1000,1,1.2290685277858,1000,1,3.12483905141603,1000,1,1.65143517404931,1000,1,2.82913900566672,1000,1,1.07291543137812,1000,1,1.40757494751856,1000,1,1.76975867702054,1000,1,0.70912202588207,1000,1,3.57376964529652,1000
"2",2,1.18464264182074,1000,2,4.20472276901895,1000,2,2.04174632648657,1000,2,1.03593266122185,1000,2,1.13010233009605,1000,2,1.06618274993041,1000,2,0.849357458348888,1000,2,1.88119682681825,1000,2,1.50225387446357,1000,2,1.30459124290618,1000
"3",3,1.33573716790091,1000,3,0.964649617059637,1000,3,1.02560140349005,1000,3,0.863841534044492,1000,3,1.84762564732457,1000,3,1.18335298870448,1000,3,2.37768267076121,1000,3,1.31861907136057,1000,3,0.807552704733537,1000,3,5.52621273182119,1000
"4",4,1.04611484543263,1000,4,0.959057436010542,1000,4,1.05952918011409,1000,4,1.18590918406656,1000,4,1.04961012229454,1000,4,0.729273888173264,1000,4,1.44869006958592,1000,4,1.689695104044,1000,4,1.88478082856491,1000,4,5.90857637322029,1000
"5",5,1.25763131502629,1000,5,1.16510917679008,1000,5,0.769299680834639,1000,5,0.818287221328695,1000,5,1.76830914861611,1000,5,1.02368107256239,1000,5,2.37406687958464,1000,5,3.2457546513521,1000,5,1.86600101215184,1000,5,2.64900480769257,1000
"6",6,1.09479230459963,1000,6,0.985470720377355,1000,6,0.772147086420938,1000,6,1.26907820354978,1000,6,1.27117976147629,1000,6,2.70180123144372,1000,6,1.22243474048184,1000,6,1.53435348131221,1000,6,2.09047986041155,1000,6,9.34722060126347,1000
"7",7,1.23528708489971,1000,7,1.59503317347807,1000,7,0.898185133369967,1000,7,2.36968481946986,1000,7,2.90889152724794,1000,7,0.837308225419346,1000,7,0.890807597120136,1000,7,0.773573638131256,1000,7,3.87751249173451,1000,7,4.14395753604024,1000
"8",8,1.03909184453815,1000,8,1.71927324137841,1000,8,1.60587091781461,1000,8,0.972102691653699,1000,8,1.47231822379536,1000,8,1.58326446625894,1000,8,1.56833411513874,1000,8,2.41740456433317,1000,8,1.22720140393606,1000,8,4.35081864689213,1000
"9",9,1.1326458201925,1000,9,1.10768548139209,1000,9,1.60091502064974,1000,9,1.64352451847982,1000,9,0.961782308241166,1000,9,0.993322773206777,1000,9,1.64161532787907,1000,9,3.05423367893324,1000,9,2.77869279480258,1000,9,0.689895155948036,1000
"10",10,0.919440078043414,1000,10,0.934909365499477,1000,10,0.86828776460899,1000,10,0.873064025661059,1000,10,1.53502806102823,1000,10,1.58287449345237,1000,10,5.99287224120867,1000,10,0.891399041874449,1000,10,3.08933994069838,1000,10,2.59260522810906,1000
"11",11,1.48636478908186,1000,11,1.70548864700884,1000,11,2.92588686695572,1000,11,1.10110958516879,1000,11,3.28733092357369,1000,11,0.905288985591822,1000,11,1.0104661387915,1000,11,0.882264205098772,1000,11,0.968586271216886,1000,11,4.52375884330003,1000
"12",12,1.23511840202998,1000,12,2.720945353063,1000,12,4.66953484112298,1000,12,1.03379119072849,1000,12,3.33663438484288,1000,12,3.74343239193588,1000,12,1.71105634927046,1000,12,1.05595755364516,1000,12,2.66289296109168,1000,12,6.45491859320169,1000
"13",13,1.22155307251648,1000,13,0.934394075370864,1000,13,1.35292232800177,1000,13,1.11118318572856,1000,13,1.09758958175184,1000,13,3.14563495810363,1000,13,1.25190410152701,1000,13,2.62473831292597,1000,13,1.50618646691525,1000,13,5.09313838530923,1000
"14",14,1.09987920880922,1000,14,0.731406786767826,1000,14,1.31099476569085,1000,14,2.31772518209938,1000,14,0.844200499193956,1000,14,1.08594207518295,1000,14,0.864505532503274,1000,14,2.06764960050463,1000,14,2.58631118075781,1000,14,4.35284271607106,1000
"15",15,1.19019595586362,1000,15,1.10199265418847,1000,15,0.90336623573801,1000,15,2.32479892243731,1000,15,2.03160504670767,1000,15,1.1829146040123,1000,15,2.80790277512599,1000,15,1.4930827390441,1000,15,2.38261501305237,1000,15,0.911345239222701,1000
"16",16,1.21103508621693,1000,16,1.64880043528299,1000,16,2.13981680377007,1000,16,0.925244373937857,1000,16,0.879296971018642,1000,16,1.90333224584706,1000,16,1.44959282507087,1000,16,2.74819880847936,1000,16,0.752343588031357,1000,16,3.44008805792662,1000
"17",17,1.18799947554012,1000,17,1.06403968218117,1000,17,1.02710975178795,1000,17,1.25044542352823,1000,17,0.850620140996038,1000,17,2.10468587040365,1000,17,1.9751476759851,1000,17,1.91349285835538,1000,17,1.90511286982664,1000,17,3.84437536851689,1000
