"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9","replicate_id.10","overshoot_ratio.10","subsample.10","replicate_id.11","overshoot_ratio.11","subsample.11","replicate_id.12","overshoot_ratio.12","subsample.12","replicate_id.13","overshoot_ratio.13","subsample.13","replicate_id.14","overshoot_ratio.14","subsample.14","replicate_id.15","overshoot_ratio.15","subsample.15","replicate_id.16","overshoot_ratio.16","subsample.16","replicate_id.17","overshoot_ratio.17","subsample.17","replicate_id.18","overshoot_ratio.18","subsample.18","replicate_id.19","overshoot_ratio.19","subsample.19"
"1",1,0.5255275360041,1000,1,2.51066842319667,1000,1,1.52565491259131,1000,1,2.51340299198682,1000,1,2.83574039488983,1000,1,2.67286808442449,1000,1,10.9144748657926,1000,1,24.3792761172688,1000,1,16.8901725102776,1000,1,129.799412593676,1000,1,1.00526059209456,1000,1,2.38805799091926,1000,1,4.66345112041799,1000,1,1.73038091008659,1000,1,1.95809411630924,1000,1,15.9631245566616,1000,1,1.4030025670538,1000,1,0.877186361513707,1000,1,1.54304997550721,1000,1,1.47789621658838,1000
"2",2,0.511129372889569,1000,2,1.46057120577621,1000,2,2.88859958269749,1000,2,3.40726583758031,1000,2,4.72728332238676,1000,2,6.98892735453991,1000,2,9.78594808492828,1000,2,4.26029794094763,1000,2,13.7180926352759,1000,2,210.403221201266,1000,2,0.855157951010777,1000,2,1.31646478447935,1000,2,1.46159421268166,1000,2,1.43956944792901,1000,2,0.972978978213456,1000,2,1.454900722625,1000,2,1.01748339670688,1000,2,1.52997393043086,1000,2,1.01623372332224,1000,2,0.893517719061235,1000
"3",3,0.540308191434025,1000,3,5.03999426913026,1000,3,1.30934742148207,1000,3,4.73031257346625,1000,3,9.73303935007602,1000,3,5.53853685480174,1000,3,12.4294466144528,1000,3,23.1348317894082,1000,3,19.431515222304,1000,3,171.792852949298,1000,3,1.10932014513361,1000,3,0.857449304825905,1000,3,0.908145093259094,1000,3,1.06815500658042,1000,3,0.93821916310742,1000,3,8.77452542749624,1000,3,0.831130147648609,1000,3,0.829192529654394,1000,3,2.02095612725217,1000,3,0.894527680673066,1000
"4",4,0.489205204883358,1000,4,1.03459320637978,1000,4,1.71048854374399,1000,4,4.7281871776746,1000,4,0.954520939294066,1000,4,4.69361613308931,1000,4,9.05804343197189,1000,4,12.9124014275934,1000,4,20.0291047881163,1000,4,138.873319682299,1000,4,0.974994295491437,1000,4,0.792315344977206,1000,4,1.54087861345964,1000,4,1.41252584841646,1000,4,1.10564526109236,1000,4,4.88235246108859,1000,4,4.99600175724775,1000,4,1.25504660513,1000,4,1.24249102740419,1000,4,0.896394843760151,1000
"5",5,0.633883735650174,1000,5,1.23015957826595,1000,5,2.03773044191264,1000,5,1.92286382627842,1000,5,3.44906777841117,1000,5,1.54119040738218,1000,5,4.71691359674349,1000,5,9.06941591805408,1000,5,9.06271080775636,1000,5,123.217583234687,1000,5,1.16817807581537,1000,5,0.681336466138574,1000,5,1.48500203309143,1000,5,2.27502622066308,1000,5,1.59676482805645,1000,5,6.86684815752736,1000,5,2.11532289825511,1000,5,0.956984558660406,1000,5,1.0553503954416,1000,5,2.21960642348061,1000
"6",6,0.517765630350517,1000,6,2.28216321203349,1000,6,2.37697949851965,1000,6,5.02092647799305,1000,6,5.66588428870581,1000,6,9.16875561054483,1000,6,11.7662691979509,1000,6,14.9541607484181,1000,6,5.35201195997828,1000,6,263.57704222995,1000,6,1.05505047734827,1000,6,2.39184119174467,1000,6,2.1763513150086,1000,6,0.963717080782985,1000,6,1.00128997727678,1000,6,2.1221437604968,1000,6,1.23321311551831,1000,6,0.895001905867784,1000,6,1.4315485488273,1000,6,1.14521935680591,1000
"7",7,0.0784743034068005,1000,7,3.18891093971346,1000,7,4.11773548432311,1000,7,6.9180556213605,1000,7,1.27974530756882,1000,7,3.24770313422408,1000,7,3.70671903791569,1000,7,8.1926223669062,1000,7,17.4172709641443,1000,7,142.562850757504,1000,7,1.00943080083474,1000,7,0.994242535574094,1000,7,2.59176586178689,1000,7,1.03265946302058,1000,7,0.95088117312969,1000,7,7.36795518903044,1000,7,0.832744232954752,1000,7,1.67587461556429,1000,7,3.2269869339833,1000,7,1.02205782774807,1000
"8",8,0.386513514367578,1000,8,0.99076186131225,1000,8,3.16573437613692,1000,8,5.72015610332179,1000,8,6.09226108898801,1000,8,3.6894516102345,1000,8,8.39450155523027,1000,8,9.72466009105926,1000,8,11.6763556053959,1000,8,206.689663054227,1000,8,0.929056337673863,1000,8,1.74981918114737,1000,8,1.82205645943845,1000,8,1.19944326973123,1000,8,1.27051446274187,1000,8,8.22518236475167,1000,8,0.838800624289995,1000,8,0.864910595750228,1000,8,1.86375111598432,1000,8,0.961197919061385,1000
"9",9,0.847123394448037,1000,9,4.01630801800069,1000,9,2.52578539672171,1000,9,5.66874727879543,1000,9,4.56471997888593,1000,9,4.20584471697807,1000,9,10.6981653226756,1000,9,13.4842368385894,1000,9,27.0621188576823,1000,9,89.9554253598764,1000,9,1.17961838011698,1000,9,3.67324107571343,1000,9,3.48202924891905,1000,9,1.06275401986539,1000,9,0.895735948784406,1000,9,4.39535614553122,1000,9,1.24691046533565,1000,9,1.61320976053148,1000,9,0.95922018132053,1000,9,0.829720773942336,1000
"10",10,0.726614468658044,1000,10,2.3909861037257,1000,10,2.2092077054735,1000,10,2.58223332179099,1000,10,13.948176196441,1000,10,3.72310145745229,1000,10,6.48160767397175,1000,10,2.46953121225517,1000,10,15.4749954109364,1000,10,94.5415308937922,1000,10,1.29501018818361,1000,10,3.67796152491717,1000,10,0.841696230336316,1000,10,0.845126469105434,1000,10,0.976335808554841,1000,10,3.75163955153579,1000,10,2.14503312588876,1000,10,1.51148358689679,1000,10,0.90705932243562,1000,10,2.07410778158001,1000
