"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9","replicate_id.10","overshoot_ratio.10","subsample.10","replicate_id.11","overshoot_ratio.11","subsample.11","replicate_id.12","overshoot_ratio.12","subsample.12","replicate_id.13","overshoot_ratio.13","subsample.13","replicate_id.14","overshoot_ratio.14","subsample.14","replicate_id.15","overshoot_ratio.15","subsample.15","replicate_id.16","overshoot_ratio.16","subsample.16","replicate_id.17","overshoot_ratio.17","subsample.17","replicate_id.18","overshoot_ratio.18","subsample.18","replicate_id.19","overshoot_ratio.19","subsample.19"
"1",1,0.62260119700185,1000,1,1.08552992040962,1000,1,1.38364875235486,1000,1,1.28701701890647,1000,1,1.05950363403798,1000,1,1.59892052639296,1000,1,1.33439953637255,1000,1,1.67092365204761,1000,1,1.12379294694586,1000,1,1.23126188952983,1000,1,1.29625947931519,1000,1,1.20539945606653,1000,1,1.62522107630947,1000,1,1.13269114370724,1000,1,1.09173431462024,1000,1,1.41810570206679,1000,1,1.38560458510448,1000,1,1.69685368993076,1000,1,1.15371105901137,1000,1,1.17070157156159,1000
"2",2,0.444451250284038,1000,2,1.12588464141071,1000,2,1.11532382072077,1000,2,1.23757873024218,1000,2,1.32157927716727,1000,2,1.20602549982087,1000,2,1.21905382825299,1000,2,1.16165278682826,1000,2,1.707929587827,1000,2,1.74737693605323,1000,2,1.08805851171475,1000,2,1.45351135281936,1000,2,1.26295478134307,1000,2,1.08971903439853,1000,2,1.01717051230248,1000,2,1.85080302198373,1000,2,1.29080303433834,1000,2,1.51385291176362,1000,2,1.42589404588172,1000,2,1.43716956522145,1000
"3",3,0.602361914060271,1000,3,1.30866815935013,1000,3,1.41101148901357,1000,3,1.169664801046,1000,3,1.34450668738933,1000,3,1.24624773649299,1000,3,1.61051711235326,1000,3,1.24253148430612,1000,3,1.55116765727197,1000,3,1.82871364366254,1000,3,0.938224335190913,1000,3,1.18593613297144,1000,3,1.39601131167149,1000,3,1.06454768812349,1000,3,1.15787315384048,1000,3,1.47438780962096,1000,3,1.41463021476829,1000,3,1.09815040073172,1000,3,1.42365204494792,1000,3,1.33655826502942,1000
"4",4,0.328822303834692,1000,4,1.2692417058002,1000,4,1.11976408796979,1000,4,1.59657090651638,1000,4,1.03334986582012,1000,4,1.40353486683981,1000,4,1.06549493157628,1000,4,1.49769210557109,1000,4,1.47686933378181,1000,4,1.88893465439618,1000,4,1.28675139418507,1000,4,1.11348394025804,1000,4,1.17231424782961,1000,4,1.43333112388297,1000,4,1.19592923476123,1000,4,1.80028878018251,1000,4,1.22268031314701,1000,4,1.25342560512557,1000,4,1.47501680098594,1000,4,1.55744300276009,1000
"5",5,0.712348039565964,1000,5,1.25755016455643,1000,5,1.9804216161458,1000,5,1.55607681548384,1000,5,1.37741552865603,1000,5,1.3253987350713,1000,5,1.22498185355581,1000,5,1.07027543950103,1000,5,1.50246020108674,1000,5,1.45965406268946,1000,5,1.19214533186259,1000,5,1.27718606305363,1000,5,1.46687310624122,1000,5,1.65374539049154,1000,5,1.45839778249572,1000,5,1.5058176746283,1000,5,1.29593751014702,1000,5,1.05286252276189,1000,5,1.48922448654099,1000,5,1.429692944613,1000
"6",6,0.805592518663736,1000,6,1.14583653429163,1000,6,1.4649447911555,1000,6,1.40853174003761,1000,6,1.12254296627538,1000,6,1.34974189956015,1000,6,1.49774581581083,1000,6,1.38753958457579,1000,6,1.42413321904582,1000,6,2.23170892899396,1000,6,0.978049938242093,1000,6,1.24941379492471,1000,6,1.22727563416262,1000,6,1.37614368122396,1000,6,1.43175564228227,1000,6,1.32725909091283,1000,6,1.47386106180368,1000,6,1.05395309717214,1000,6,1.25003864168801,1000,6,1.25983119759805,1000
"7",7,0.106442794726327,1000,7,1.03315034636234,1000,7,1.17397871550528,1000,7,1.28715746605474,1000,7,1.12547285202283,1000,7,1.9458992410611,1000,7,1.5288708701566,1000,7,1.17578821578546,1000,7,1.40734095016448,1000,7,1.70333924497339,1000,7,1.24970207045139,1000,7,1.43043897425125,1000,7,1.16868622312206,1000,7,1.1539992375487,1000,7,1.16242164692406,1000,7,1.51846415362817,1000,7,1.44562781596502,1000,7,1.1937278685063,1000,7,1.56768970747085,1000,7,1.22773236431867,1000
"8",8,0.571133834566181,1000,8,1.42759861552262,1000,8,1.26710867910923,1000,8,1.26903867050603,1000,8,1.24541312444301,1000,8,1.21131561088916,1000,8,1.13050380284213,1000,8,1.23899373211793,1000,8,1.44697671662095,1000,8,1.48552252204271,1000,8,1.36083841743284,1000,8,1.22309121922197,1000,8,1.11175121499694,1000,8,1.19566111047258,1000,8,1.23052465888615,1000,8,1.45857606895156,1000,8,1.26872054410222,1000,8,1.22547662778483,1000,8,1.51921160756664,1000,8,1.28532469731526,1000
"9",9,0.671320565861577,1000,9,1.24459451883929,1000,9,1.3860555775778,1000,9,1.48592787577637,1000,9,1.22031619575276,1000,9,1.72879036690714,1000,9,1.58875708294281,1000,9,1.27242568343298,1000,9,1.87147496233513,1000,9,1.51676298833876,1000,9,1.31069923624507,1000,9,1.04349978577913,1000,9,1.45864553690979,1000,9,1.18211676373031,1000,9,1.11504526913488,1000,9,1.41297863750149,1000,9,1.23266946804683,1000,9,1.94361854506291,1000,9,1.61382373842374,1000,9,1.14389776325725,1000
"10",10,0.586194243328423,1000,10,1.53172739952191,1000,10,1.07789991570527,1000,10,1.27306965205041,1000,10,1.33839854044023,1000,10,1.20445397615575,1000,10,1.28959407644958,1000,10,1.36899716725117,1000,10,1.09545817603448,1000,10,1.53401852202168,1000,10,0.987285753809153,1000,10,1.16826394103301,1000,10,1.27686124461026,1000,10,1.26822212510203,1000,10,1.57347232205327,1000,10,1.37440559769127,1000,10,1.24123822292251,1000,10,1.22258914204988,1000,10,1.55592023639116,1000,10,1.08389338655944,1000
