"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"1",1,1.00526059209456,1000,1,2.38805799091926,1000,1,4.66345112041799,1000,1,1.73038091008659,1000,1,1.95809411630924,1000,1,15.9631245566616,1000,1,1.4030025670538,1000,1,0.877186361513707,1000,1,1.54304997550721,1000,1,1.47789621658838,1000
"2",2,0.855157951010777,1000,2,1.31646478447935,1000,2,1.46159421268166,1000,2,1.43956944792901,1000,2,0.972978978213456,1000,2,1.454900722625,1000,2,1.01748339670688,1000,2,1.52997393043086,1000,2,1.01623372332224,1000,2,0.893517719061235,1000
"3",3,1.10932014513361,1000,3,0.857449304825905,1000,3,0.908145093259094,1000,3,1.06815500658042,1000,3,0.93821916310742,1000,3,8.77452542749624,1000,3,0.831130147648609,1000,3,0.829192529654394,1000,3,2.02095612725217,1000,3,0.894527680673066,1000
"4",4,0.974994295491437,1000,4,0.792315344977206,1000,4,1.54087861345964,1000,4,1.41252584841646,1000,4,1.10564526109236,1000,4,4.88235246108859,1000,4,4.99600175724775,1000,4,1.25504660513,1000,4,1.24249102740419,1000,4,0.896394843760151,1000
"5",5,1.16817807581537,1000,5,0.681336466138574,1000,5,1.48500203309143,1000,5,2.27502622066308,1000,5,1.59676482805645,1000,5,6.86684815752736,1000,5,2.11532289825511,1000,5,0.956984558660406,1000,5,1.0553503954416,1000,5,2.21960642348061,1000
"6",6,1.05505047734827,1000,6,2.39184119174467,1000,6,2.1763513150086,1000,6,0.963717080782985,1000,6,1.00128997727678,1000,6,2.1221437604968,1000,6,1.23321311551831,1000,6,0.895001905867784,1000,6,1.4315485488273,1000,6,1.14521935680591,1000
"7",7,1.00943080083474,1000,7,0.994242535574094,1000,7,2.59176586178689,1000,7,1.03265946302058,1000,7,0.95088117312969,1000,7,7.36795518903044,1000,7,0.832744232954752,1000,7,1.67587461556429,1000,7,3.2269869339833,1000,7,1.02205782774807,1000
"8",8,0.929056337673863,1000,8,1.74981918114737,1000,8,1.82205645943845,1000,8,1.19944326973123,1000,8,1.27051446274187,1000,8,8.22518236475167,1000,8,0.838800624289995,1000,8,0.864910595750228,1000,8,1.86375111598432,1000,8,0.961197919061385,1000
"9",9,1.17961838011698,1000,9,3.67324107571343,1000,9,3.48202924891905,1000,9,1.06275401986539,1000,9,0.895735948784406,1000,9,4.39535614553122,1000,9,1.24691046533565,1000,9,1.61320976053148,1000,9,0.95922018132053,1000,9,0.829720773942336,1000
"10",10,1.29501018818361,1000,10,3.67796152491717,1000,10,0.841696230336316,1000,10,0.845126469105434,1000,10,0.976335808554841,1000,10,3.75163955153579,1000,10,2.14503312588876,1000,10,1.51148358689679,1000,10,0.90705932243562,1000,10,2.07410778158001,1000
"11",11,1.0972394747571,1000,11,1.77886357894799,1000,11,3.23222714818661,1000,11,0.848821860181879,1000,11,0.868756934038502,1000,11,13.7764400001461,1000,11,0.838124939523515,1000,11,1.26038327998791,1000,11,2.42336253458708,1000,11,1.1939951918154,1000
"12",12,1.24116516319833,1000,12,1.30330381372935,1000,12,1.61764948395926,1000,12,1.05079349172931,1000,12,1.11161975490556,1000,12,1.36381074147263,1000,12,3.36891078079882,1000,12,1.34991005963688,1000,12,0.905776675091671,1000,12,2.57271918031281,1000
"13",13,0.95406164873392,1000,13,0.955556338121897,1000,13,2.20585775255189,1000,13,1.02564587629649,1000,13,1.18398834535811,1000,13,4.19396692049046,1000,13,0.758317617487574,1000,13,0.965752970551929,1000,13,0.971230392290366,1000,13,1.53287691499407,1000
"14",14,1.09411424245791,1000,14,4.63929903040672,1000,14,3.85733154433798,1000,14,3.309635048286,1000,14,0.799296748197691,1000,14,3.17809810697067,1000,14,2.11604879055323,1000,14,1.01328418665838,1000,14,0.858539402962648,1000,14,1.14537364486843,1000
"15",15,1.12416446277193,1000,15,0.887305393386276,1000,15,1.08196454617349,1000,15,2.21138191879779,1000,15,0.953706789020059,1000,15,9.1540861753947,1000,15,1.03941747345759,1000,15,1.50261988878242,1000,15,0.99290958393528,1000,15,1.33922813853904,1000
"16",16,0.931000937789656,1000,16,1.2597806121885,1000,16,3.39376307396666,1000,16,1.1886027749062,1000,16,0.776314305063222,1000,16,2.1301629936743,1000,16,2.77162498214153,1000,16,1.15884779534632,1000,16,1.20690269241515,1000,16,0.755702342680595,1000
"17",17,1.34899044634504,1000,17,2.4955341882904,1000,17,0.79611240856044,1000,17,1.22908811834375,1000,17,1.49396736484989,1000,17,0.956761818553455,1000,17,0.780405065423898,1000,17,0.950589205074106,1000,17,0.768296298483175,1000,17,0.982117449076798,1000
