"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"1",1,2.10822847116487,1000,1,17.4553680794165,1000,1,12.19209811541,1000,1,8.04899682473881,1000,1,7.82005611176251,1000,1,146.279359440887,1000,1,70.4387046831956,1000,1,65.8167919422747,1000,1,3.69067375205789,1000,1,23.3751399097648,1000
"2",2,16.4270311454273,1000,2,11.629946249686,1000,2,23.2764213162928,1000,2,72.7498096369017,1000,2,14.5230912638572,1000,2,10.2468849536075,1000,2,41.827321388721,1000,2,51.4499933954748,1000,2,9.91598086692025,1000,2,62.0335819715212,1000
"3",3,16.8305532836976,1000,3,60.4938486985396,1000,3,23.4026073376803,1000,3,42.0484306998259,1000,3,79.2285087607203,1000,3,10.8990165662848,1000,3,73.6741932139295,1000,3,56.7567962960813,1000,3,4.73674011147729,1000,3,129.877871640061,1000
"4",4,13.8660388333212,1000,4,131.965009277407,1000,4,49.0783783290094,1000,4,31.8478694748492,1000,4,48.7943000364477,1000,4,7.36241112211378,1000,4,85.304944066189,1000,4,57.1347737890193,1000,4,2.026472113071,1000,4,32.4170564809267,1000
"5",5,4.81042133251286,1000,5,33.0894497884815,1000,5,71.6122106507733,1000,5,8.74517037631195,1000,5,31.9006371510611,1000,5,27.3955527192393,1000,5,6.34035588996662,1000,5,20.4874431809443,1000,5,2.33485217348561,1000,5,3.44629567842203,1000
"6",6,2.82087188917535,1000,6,22.0698872189951,1000,6,41.1026953918314,1000,6,38.1968539400535,1000,6,70.6623536594952,1000,6,52.9264907264293,1000,6,37.8245771087693,1000,6,100.130550591943,1000,6,13.42661544253,1000,6,99.0520215701451,1000
"7",7,8.06132781731028,1000,7,10.0217497931931,1000,7,33.0116283668136,1000,7,106.075898536345,1000,7,44.0820719701973,1000,7,35.0465395061617,1000,7,40.2653240111794,1000,7,47.768246825286,1000,7,1.69865976014546,1000,7,17.759728490041,1000
"8",8,1.3640151038923,1000,8,86.2456894557995,1000,8,27.2430095489717,1000,8,95.1511923416692,1000,8,18.5839774194285,1000,8,108.004224075303,1000,8,46.9775619910295,1000,8,32.0934164405928,1000,8,35.4389644097675,1000,8,31.5921827932664,1000
"9",9,1.31069923624507,1000,9,87.7854927635591,1000,9,6.56281800929248,1000,9,49.1475794182017,1000,9,92.6042889429046,1000,9,26.1817277075804,1000,9,29.7337674810216,1000,9,8.64635553088355,1000,9,14.5060738922287,1000,9,50.1864330431145,1000
"10",10,1.75467496800197,1000,10,56.4148406977327,1000,10,2.91475138508579,1000,10,53.3479903050915,1000,10,79.2246161272492,1000,10,32.1881593563666,1000,10,51.1361574170976,1000,10,18.647891101059,1000,10,2.75599512702369,1000,10,85.1071509809786,1000
