"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9","replicate_id.10","overshoot_ratio.10","subsample.10","replicate_id.11","overshoot_ratio.11","subsample.11","replicate_id.12","overshoot_ratio.12","subsample.12","replicate_id.13","overshoot_ratio.13","subsample.13","replicate_id.14","overshoot_ratio.14","subsample.14","replicate_id.15","overshoot_ratio.15","subsample.15","replicate_id.16","overshoot_ratio.16","subsample.16","replicate_id.17","overshoot_ratio.17","subsample.17","replicate_id.18","overshoot_ratio.18","subsample.18","replicate_id.19","overshoot_ratio.19","subsample.19"
"1",1,1.50009518848842,1000,1,1.45750666296354,1000,1,1.13397212600281,1000,1,1.41489673521792,1000,1,1.15742405095112,1000,1,1.59892052639296,1000,1,1.71114818806311,1000,1,1.09510547695266,1000,1,1.60449282596394,1000,1,1.2904141579207,1000,1,1.26824648666396,1000,1,1.34853281218902,1000,1,1.10086468088279,1000,1,1.48724150112422,1000,1,1.22786189331842,1000,1,1.30966481735122,1000,1,1.26526458293597,1000,1,1.63714429163383,1000,1,1.89674981748073,1000,1,1.22914589742618,1000
"2",2,1.12548611576744,1000,2,1.29675623288095,1000,2,1.18703300870651,1000,2,1.27727227734454,1000,2,1.30233887131432,1000,2,1.20602549982087,1000,2,1.28780490860097,1000,2,1.46506156446806,1000,2,1.19769240531405,1000,2,1.07203426765579,1000,2,1.13034158658941,1000,2,1.17612312127818,1000,2,1.0633088918794,1000,2,1.15331375091271,1000,2,1.18993921263158,1000,2,1.1944537511427,1000,2,1.07338062603135,1000,2,1.20183946824366,1000,2,1.66653274916414,1000,2,1.38838794264997,1000
"3",3,1.07035045080968,1000,3,1.04693792043862,1000,3,1.36499771920034,1000,3,1.63818599083599,1000,3,1.22986069741564,1000,3,1.24624773649299,1000,3,1.27461727221402,1000,3,1.47675272558262,1000,3,1.68653368519014,1000,3,1.4313594737581,1000,3,1.19121001140989,1000,3,1.130889617533,1000,3,1.29285444408942,1000,3,1.38433004313759,1000,3,1.57576874431758,1000,3,1.29885799546342,1000,3,1.10382527963048,1000,3,1.01717277668039,1000,3,1.04980081141911,1000,3,1.46462413638621,1000
"4",4,1.22916519280089,1000,4,1.4171106276772,1000,4,2.11999955722747,1000,4,0.97767936117701,1000,4,1.18528096589518,1000,4,1.40353486683981,1000,4,1.12902750512454,1000,4,0.94707004103495,1000,4,1.66273250283833,1000,4,1.4274584622789,1000,4,1.16192636701893,1000,4,1.21490114078372,1000,4,1.22017529601083,1000,4,1.34091322961756,1000,4,1.13176340255013,1000,4,1.25166338289242,1000,4,1.15900074388294,1000,4,1.68539922926912,1000,4,1.23196046411841,1000,4,1.23719217218503,1000
"5",5,1.16607223162576,1000,5,1.58497354105047,1000,5,1.07513872097659,1000,5,0.929698593944662,1000,5,1.47329830712615,1000,5,1.3253987350713,1000,5,1.4419273414455,1000,5,1.21879466025465,1000,5,1.38953001139862,1000,5,1.27597602112949,1000,5,1.08051966744696,1000,5,1.43133552035008,1000,5,1.0164641007516,1000,5,1.60304513825646,1000,5,1.30563433856177,1000,5,1.25888611260662,1000,5,1.26403716798661,1000,5,1.32018849398178,1000,5,1.3410903742936,1000,5,1.08961273630945,1000
"6",6,1.11503101018778,1000,6,1.20036360411208,1000,6,1.27930952990868,1000,6,1.38391431097123,1000,6,1.38799050656606,1000,6,1.34974189956015,1000,6,1.38781165333125,1000,6,1.45699657881194,1000,6,1.67909006969991,1000,6,1.07356760899101,1000,6,1.1018424941774,1000,6,1.35868377892151,1000,6,1.17889841282337,1000,6,1.07255390443046,1000,6,1.19843339517534,1000,6,1.14711413960908,1000,6,1.2097940170152,1000,6,1.33063167956999,1000,6,1.421319444964,1000,6,1.30123372472253,1000
"7",7,1.31921553865507,1000,7,1.2108351763827,1000,7,1.12449136147299,1000,7,1.50989216730483,1000,7,1.04855843296112,1000,7,1.9458992410611,1000,7,1.49493753239592,1000,7,1.29063205360169,1000,7,1.33432992080355,1000,7,1.38507369606223,1000,7,1.08693207101871,1000,7,1.02469161435007,1000,7,1.11530233875382,1000,7,1.34356520277846,1000,7,1.09309526908468,1000,7,1.33860693628689,1000,7,1.08801612805682,1000,7,1.27967817961932,1000,7,1.25784622020364,1000,7,1.57071815795132,1000
"8",8,1.08666258481328,1000,8,1.21768864709292,1000,8,1.30713767901319,1000,8,1.11585989680668,1000,8,1.2230313006027,1000,8,1.21131561088916,1000,8,1.35564096834203,1000,8,1.27719295534436,1000,8,1.48064218476927,1000,8,1.68671087040749,1000,8,1.15240502872439,1000,8,1.32334615514995,1000,8,1.03165875613229,1000,8,1.12045288434816,1000,8,1.06300064948591,1000,8,1.29790256104119,1000,8,1.13636030318819,1000,8,1.2823634353721,1000,8,1.20983538356321,1000,8,1.42616981563001,1000
"9",9,1.41513086098224,1000,9,1.2493400215127,1000,9,1.41696245651885,1000,9,1.53055103760522,1000,9,1.22690297172762,1000,9,1.72879036690714,1000,9,0.988042363786948,1000,9,1.08516580276408,1000,9,1.20453674243458,1000,9,1.2096005014998,1000,9,1.36502959165823,1000,9,1.34323959639224,1000,9,1.34643894561797,1000,9,1.27189853284561,1000,9,1.36453916548594,1000,9,1.42159384409938,1000,9,1.56316990508698,1000,9,1.10400221653943,1000,9,1.51686689144724,1000,9,1.16077157674462,1000
"10",10,1.51309390736083,1000,10,1.10888083697057,1000,10,1.60643817396393,1000,10,1.20572435383319,1000,10,1.22768315954345,1000,10,1.20445397615575,1000,10,1.2319288519833,1000,10,1.13425808565193,1000,10,1.09420312055692,1000,10,1.20843656524731,1000,10,1.24368571437362,1000,10,1.17204191553174,1000,10,1.23098272653284,1000,10,1.06843868705516,1000,10,1.24178290221881,1000,10,1.38864941235054,1000,10,1.27103679802616,1000,10,1.22517534650712,1000,10,1.46234483661422,1000,10,1.20686054559214,1000
"11",11,1.39860822589746,1000,11,1.49230153410291,1000,11,1.29658654947168,1000,11,1.23495717535604,1000,11,1.45800750221547,1000,11,1.52639372689524,1000,11,1.3887201682643,1000,11,1.76572994675359,1000,11,1.26371536234066,1000,11,1.44957235440501,1000,11,1.0783099510729,1000,11,1.14853087682116,1000,11,1.35302617199434,1000,11,1.25802342395287,1000,11,1.16348088965249,1000,11,1.19587563921719,1000,11,1.58385542938635,1000,11,1.36412933548273,1000,11,1.19797318740875,1000,11,1.08996173215417,1000
"12",12,1.38958611165103,1000,12,1.55497555633492,1000,12,1.2756858069781,1000,12,1.53325113304509,1000,12,1.09671600090794,1000,12,1.39749213111589,1000,12,1.34226605146005,1000,12,1.16032468799841,1000,12,1.33301954146227,1000,12,1.29867513886979,1000,12,1.26714170262601,1000,12,1.18205520896024,1000,12,1.48398825483889,1000,12,1.15567186971057,1000,12,1.1426142201314,1000,12,1.19565379724963,1000,12,1.49409586376454,1000,12,1.26977428051324,1000,12,1.07646146717176,1000,12,1.15882558671437,1000
"13",13,1.39577854470093,1000,13,1.2360755079979,1000,13,1.40845351031675,1000,13,1.2212921160728,1000,13,1.36429160620539,1000,13,1.26181921869791,1000,13,1.70537365525319,1000,13,1.26532175367183,1000,13,1.40652180080967,1000,13,1.15606779820699,1000,13,1.23202650119103,1000,13,1.28035299305356,1000,13,1.41255737205135,1000,13,1.1700920140154,1000,13,1.11145556951541,1000,13,1.15060028963895,1000,13,1.12043314466586,1000,13,1.18506819224572,1000,13,1.16744828060307,1000,13,1.25775321978117,1000
"14",14,1.55998251970311,1000,14,1.06351382282358,1000,14,1.46150659933085,1000,14,1.79581701986997,1000,14,1.17215919715733,1000,14,1.22376917006876,1000,14,1.5642068583003,1000,14,1.20676635688737,1000,14,1.02983215561783,1000,14,1.41053216385768,1000,14,1.20180307337873,1000,14,1.31984775205795,1000,14,1.21521414249425,1000,14,1.16392410631754,1000,14,1.25049286136675,1000,14,1.24077237652841,1000,14,1.27905131103885,1000,14,1.25505426844957,1000,14,1.06883088286666,1000,14,1.12721429231148,1000
"15",15,1.31423890143201,1000,15,1.64427540349349,1000,15,1.11992347416059,1000,15,1.06538258448147,1000,15,1.2105484328708,1000,15,1.1916874829083,1000,15,1.35691647424322,1000,15,1.13917434965173,1000,15,1.42467926481465,1000,15,1.05897840976926,1000,15,1.58120031116981,1000,15,1.51127953216377,1000,15,1.16557264967352,1000,15,1.51045092634255,1000,15,1.05210824892156,1000,15,1.18045446005364,1000,15,1.10611245158348,1000,15,1.51582679240653,1000,15,1.25569072873887,1000,15,1.18924818827829,1000
"16",16,1.26336165469077,1000,16,1.14214663587047,1000,16,1.13639880990008,1000,16,1.35085611614898,1000,16,1.21374642639396,1000,16,1.83860977871775,1000,16,1.51653635769293,1000,16,1.05156376907862,1000,16,1.39145270339651,1000,16,1.22203957791209,1000,16,1.14062130199992,1000,16,1.15594563966027,1000,16,1.45631524900913,1000,16,1.30008679365775,1000,16,1.10506010950809,1000,16,0.939529065761959,1000,16,1.83030184953716,1000,16,1.25906786632856,1000,16,1.5107979979025,1000,16,1.25754979288347,1000
"17",17,1.08406664830961,1000,17,1.27166371865762,1000,17,1.0383493542217,1000,17,1.54590338496143,1000,17,1.39677005554644,1000,17,1.57621864376721,1000,17,1.1866580766897,1000,17,1.00855345857047,1000,17,0.949716386053045,1000,17,1.45400081246784,1000,17,1.29900238438883,1000,17,1.2447961973725,1000,17,1.15794798530392,1000,17,1.15560237892861,1000,17,1.13516752679644,1000,17,1.06536958048124,1000,17,1.02748848120566,1000,17,1.26390015196366,1000,17,1.4299902085225,1000,17,1.44071358334492,1000
"18",18,1.40937207539153,1000,18,1.29662549186693,1000,18,1.24869226574804,1000,18,1.33346130582541,1000,18,1.08156713757789,1000,18,1.13563210760723,1000,18,1.31241370843554,1000,18,1.62025695965511,1000,18,1.31931072949777,1000,18,1.72726570465619,1000,18,1.18477682864445,1000,18,1.44232073792487,1000,18,1.19529181190756,1000,18,1.30195782645477,1000,18,1.30372092710337,1000,18,1.2796724927243,1000,18,1.03886286769444,1000,18,1.1999913958155,1000,18,1.14829598255545,1000,18,1.39676207961424,1000
"19",19,1.19295716795246,1000,19,1.20625672922656,1000,19,1.37552273595645,1000,19,1.30067000295407,1000,19,1.42113034800779,1000,19,1.5221468146153,1000,19,1.34119551928117,1000,19,1.13730086348376,1000,19,0.978767679108795,1000,19,1.60911386504079,1000,19,1.00777989639832,1000,19,1.17283628300537,1000,19,1.40734495226563,1000,19,1.23766817294568,1000,19,1.20179739817158,1000,19,1.35656554918325,1000,19,1.20447197466614,1000,19,1.22753525389768,1000,19,1.06983054081445,1000,19,1.29926943956775,1000
"20",20,1.14728123896592,1000,20,1.10034200379453,1000,20,1.35509079615407,1000,20,1.4022702355978,1000,20,1.3105071993136,1000,20,1.51336793012335,1000,20,1.77529619685493,1000,20,1.18004418829698,1000,20,1.57433837771143,1000,20,1.60722027823653,1000,20,1.25875807773522,1000,20,1.1372048304011,1000,20,1.16813652531093,1000,20,1.81495812216453,1000,20,1.35358685577091,1000,20,1.34725899267199,1000,20,1.04006712995554,1000,20,1.39605545599385,1000,20,1.12689838526957,1000,20,1.3440284904336,1000
"21",21,1.27899962568733,1000,21,1.22541714850141,1000,21,1.34430007882109,1000,21,1.17718965127932,1000,21,1.36047897343621,1000,21,1.49566556487726,1000,21,0.95389024134534,1000,21,1.19260079096161,1000,21,1.1542440750872,1000,21,0.94562501493337,1000,21,1.23930836023383,1000,21,1.75294495597945,1000,21,1.21387543628354,1000,21,1.35334320337914,1000,21,1.1050856133808,1000,21,1.3837337525538,1000,21,1.19160724407291,1000,21,1.16109184378431,1000,21,1.11028411232278,1000,21,1.32072183298353,1000
"22",22,1.20013247188514,1000,22,1.28451249447517,1000,22,1.07301302794381,1000,22,1.47067224452672,1000,22,1.33935610461168,1000,22,1.29900713641023,1000,22,1.44149523678894,1000,22,0.754143469370086,1000,22,1.82940305709376,1000,22,1.67223702826568,1000,22,1.00653662689948,1000,22,1.72110204654697,1000,22,1.01297462936083,1000,22,1.06819438825283,1000,22,1.02609469487171,1000,22,1.21549898132036,1000,22,1.12133050595348,1000,22,1.39290705247196,1000,22,1.39500585788085,1000,22,1.21837165655315,1000
"23",23,1.66976516944728,1000,23,1.16577787232916,1000,23,1.30909480307059,1000,23,1.48028702910136,1000,23,1.19474276010714,1000,23,1.58791512195379,1000,23,1.08770465688705,1000,23,1.45191219356541,1000,23,1.16839062861969,1000,23,1.29746092763706,1000,23,1.22792589875658,1000,23,1.14276454002192,1000,23,1.32835515140652,1000,23,1.25761045169306,1000,23,1.67839978412978,1000,23,1.2881442849326,1000,23,1.00472158228732,1000,23,1.21511396146566,1000,23,1.03753491948223,1000,23,1.27448643074271,1000
"24",24,1.09279140679373,1000,24,1.0485806789171,1000,24,1.22178923917773,1000,24,1.07893900924139,1000,24,1.10382842340829,1000,24,1.24752948903142,1000,24,1.38284799689625,1000,24,1.40343004074758,1000,24,1.12265690007331,1000,24,1.38082968093665,1000,24,1.09256943887626,1000,24,1.26716097862636,1000,24,1.70786064433623,1000,24,1.08142448885526,1000,24,1.36381272550675,1000,24,1.3556877735446,1000,24,1.12363133717783,1000,24,1.10321994950477,1000,24,1.26412045838783,1000,24,1.38274312160261,1000
"25",25,1.53296660771178,1000,25,1.21332898496671,1000,25,1.32586826653424,1000,25,1.35898509442824,1000,25,1.33858044052415,1000,25,1.44752342445054,1000,25,1.06468430365387,1000,25,1.14273934154443,1000,25,1.30709562149711,1000,25,1.43148592793393,1000,25,1.37518128386394,1000,25,1.23641303457662,1000,25,1.29164446951093,1000,25,1.28398289604391,1000,25,1.07552230137824,1000,25,1.45978023193093,1000,25,1.19512148878635,1000,25,1.41720368776459,1000,25,1.03829499597021,1000,25,1.16935307285563,1000
