"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9","replicate_id.10","undershoot_ratio.10","subsample.10","replicate_id.11","undershoot_ratio.11","subsample.11","replicate_id.12","undershoot_ratio.12","subsample.12","replicate_id.13","undershoot_ratio.13","subsample.13","replicate_id.14","undershoot_ratio.14","subsample.14","replicate_id.15","undershoot_ratio.15","subsample.15","replicate_id.16","undershoot_ratio.16","subsample.16","replicate_id.17","undershoot_ratio.17","subsample.17","replicate_id.18","undershoot_ratio.18","subsample.18","replicate_id.19","undershoot_ratio.19","subsample.19"
"1",1,1.03017992947458,1000,1,1.28628145391652,1000,1,1.12778305802743,1000,1,0.910915334770093,1000,1,1.09282750997251,1000,1,1.05915386735504,1000,1,0.945164135287468,1000,1,1.00878470094652,1000,1,1.37276134861255,1000,1,1462987.83941001,1000,1,0.757308483659742,1000,1,1.01657429931088,1000,1,0.897959489019293,1000,1,4.69664668369213,1000,1,2.00734866654654,1000,1,0.875874798044547,1000,1,1.0310441009968,1000,1,2.51375647965835,1000,1,1.21194783847721,1000,1,3.48172787864723,1000
"2",2,0.710055360666642,1000,2,1.05567352740277,1000,2,0.910615134689633,1000,2,1.23828241509325,1000,2,1.11992928458909,1000,2,0.947178188983634,1000,2,1.10409121541878,1000,2,1.49322399160774,1000,2,0.958001322429777,1000,2,700685.827209613,1000,2,0.765287131194475,1000,2,3.18781321840855,1000,2,2.44811522900565,1000,2,1.00712289435202,1000,2,0.960833363977331,1000,2,1.15656796293749,1000,2,2.17151421340485,1000,2,0.962370259849052,1000,2,1.98903030344905,1000,2,3.26399274201086,1000
"3",3,1.95448990212469,1000,3,1.8357506464782,1000,3,1.06545238069097,1000,3,1.2200698271765,1000,3,1.02278837483043,1000,3,1.04387476328987,1000,3,1.00955927056978,1000,3,1.04841967188974,1000,3,1.1264592601035,1000,3,500030.239014863,1000,3,0.976195911805761,1000,3,1.00051314829459,1000,3,0.915287096495943,1000,3,1.20555639660942,1000,3,1.56690422730203,1000,3,0.779081983895142,1000,3,3.67116315124939,1000,3,1.96186585771472,1000,3,1.99510321840421,1000,3,4.21697020471501,1000
"4",4,0.967730515551578,1000,4,0.861674385126113,1000,4,0.955762347936995,1000,4,0.917186934345574,1000,4,0.954233554338182,1000,4,1.11355757010808,1000,4,1.51241510076022,1000,4,0.945040792956689,1000,4,1.23961092522147,1000,4,1476188961.29265,1000,4,0.819702602416151,1000,4,1.0165388845734,1000,4,1.00399906249568,1000,4,1.11499759563636,1000,4,2.49757567780738,1000,4,0.889456161806418,1000,4,0.964244506770516,1000,4,2.28567482822729,1000,4,1.16550825532945,1000,4,3.7719816263857,1000
"5",5,1.25961123944792,1000,5,1.03541051334707,1000,5,1.06088157623758,1000,5,1.00445273373977,1000,5,0.994998028516406,1000,5,1.17042498049287,1000,5,0.846469285503825,1000,5,1.10831760364492,1000,5,1.02333477217968,1000,5,272368.236817548,1000,5,1.00002204530789,1000,5,0.912770856988233,1000,5,1.25375035168486,1000,5,1.66548993569212,1000,5,1.26630389100923,1000,5,0.879298192630736,1000,5,0.870002202088785,1000,5,0.833956795072347,1000,5,3.51420171349299,1000,5,2.93825576500526,1000
"6",6,0.966222235538108,1000,6,0.886964302254303,1000,6,0.967033388936441,1000,6,1.94400040157154,1000,6,1.10302144530041,1000,6,1.12746717224155,1000,6,0.905519152318141,1000,6,0.916579949499227,1000,6,1.05271821290032,1000,6,49.8374433171855,1000,6,0.81074012941507,1000,6,0.935506191749815,1000,6,0.971581023583572,1000,6,0.795118165235783,1000,6,1.72000666748669,1000,6,0.97995617783824,1000,6,1.95529024990309,1000,6,0.915466260419373,1000,6,1.68663574500189,1000,6,9.02498520793876,1000
"7",7,1.07002726291695,1000,7,0.957938155798379,1000,7,0.98384723497664,1000,7,1.50342449212447,1000,7,0.96277550756104,1000,7,1.06881038363025,1000,7,0.83406894215919,1000,7,0.873997343445525,1000,7,1.12219025183475,1000,7,165768.505748572,1000,7,1.21511629791119,1000,7,1.72855865967759,1000,7,1.20588670153239,1000,7,1.38378331903252,1000,7,3.38888694889607,1000,7,1.0634094084339,1000,7,0.921059252700048,1000,7,2.42441596535758,1000,7,2.11713160634595,1000,7,2.64688956066295,1000
"8",8,0.969594500397774,1000,8,1.06168658820531,1000,8,3.21456362191926,1000,8,0.96979088743551,1000,8,1.72791479507117,1000,8,1.01522881547104,1000,8,0.805355894950084,1000,8,1.08867714207991,1000,8,1.07981556873666,1000,8,52593.0474624763,1000,8,1.89280481909143,1000,8,3.39663378578616,1000,8,0.79130459141436,1000,8,0.989267724027306,1000,8,1.01335198876642,1000,8,1.27252615679578,1000,8,2.42158652054133,1000,8,2.85607220749635,1000,8,1.3102482551546,1000,8,2.1238951284497,1000
"9",9,0.89498155135481,1000,9,0.960287258326211,1000,9,0.961381383464651,1000,9,1.09951223667764,1000,9,0.927623160927577,1000,9,1.06567172380154,1000,9,0.828247947947717,1000,9,0.798619322550953,1000,9,0.992777829854543,1000,9,6957347415021.13,1000,9,2.90773198234529,1000,9,1.01529399913122,1000,9,2.53212647381745,1000,9,3.03011617928669,1000,9,0.997772033155454,1000,9,0.976481071873118,1000,9,1.18323109118618,1000,9,1.34641577768589,1000,9,1.37104206979549,1000,9,2.26536465747452,1000
"10",10,4.74982871798976,1000,10,0.850301270478018,1000,10,1.14109731990808,1000,10,0.951160433158017,1000,10,1.09485038834118,1000,10,1.22678198199421,1000,10,0.895525889206288,1000,10,0.940480712849888,1000,10,1.14372724336161,1000,10,1949656.65558461,1000,10,1.0556600354547,1000,10,1.14369364187948,1000,10,1.10856492264951,1000,10,5.33431281559669,1000,10,2.74809564597692,1000,10,1.89447570642799,1000,10,1.37021905965144,1000,10,2.23262371233808,1000,10,1.18227100211047,1000,10,4.82459066993147,1000
"11",11,0.930426678911852,1000,11,1.08470033963619,1000,11,1.04682741549206,1000,11,1.57267794109663,1000,11,1.05682171685671,1000,11,0.91201676348954,1000,11,1.16512662537771,1000,11,0.805888070892062,1000,11,0.991009716167886,1000,11,727075.025293646,1000,11,1.20601158081872,1000,11,2.22563270396307,1000,11,0.988028833508852,1000,11,0.888650250262844,1000,11,1.65825437225751,1000,11,0.942260714919532,1000,11,2.15466355889323,1000,11,1.86952411322665,1000,11,0.89201136110307,1000,11,3.89619010393492,1000
"12",12,0.940880595494772,1000,12,1.08555666291219,1000,12,1.03895151023519,1000,12,1.37907308869062,1000,12,1.07767728276841,1000,12,1.24464475061551,1000,12,0.958989290590248,1000,12,0.83443110734545,1000,12,1.09832863036905,1000,12,4829846.67147042,1000,12,0.759978453168015,1000,12,0.822968077005808,1000,12,0.86518714378901,1000,12,0.947285882173757,1000,12,2.52294163847285,1000,12,0.925688914222002,1000,12,1.52367589048087,1000,12,1.37363255065052,1000,12,1.72140716570954,1000,12,5.00461631718398,1000
"13",13,0.999293590200328,1000,13,1.14850783406499,1000,13,1.87064412388073,1000,13,1.29511907215521,1000,13,1.08726025398006,1000,13,1.07131998674869,1000,13,1.29569201287462,1000,13,1.38552475727833,1000,13,1.71403857264747,1000,13,1897928.75336098,1000,13,0.882672642863382,1000,13,1.59931851653677,1000,13,0.996807512798323,1000,13,1.00753945848984,1000,13,0.811102390943338,1000,13,1.01050104261135,1000,13,1.05365668689912,1000,13,0.988837839765475,1000,13,13.8396823178567,1000,13,2.73769900244749,1000
"14",14,2.44890241534864,1000,14,0.898391290476186,1000,14,0.972265368318606,1000,14,0.842793482808317,1000,14,0.923993641565705,1000,14,0.812608434327285,1000,14,1.01576255863411,1000,14,1.27106307017043,1000,14,1.17064864297145,1000,14,121.824145676824,1000,14,0.922167330156788,1000,14,1.74522676243871,1000,14,0.806753571425355,1000,14,1.11824340075258,1000,14,3.76854662164984,1000,14,1.32245486909519,1000,14,1.2213122858015,1000,14,2.28997318272542,1000,14,3.85814616356421,1000,14,6.52899965382016,1000
"15",15,1.14632115377245,1000,15,1.08795344283294,1000,15,0.877597544421886,1000,15,3.29679612358683,1000,15,1.07035273860003,1000,15,0.916725977403239,1000,15,1.12968823815279,1000,15,1.216629677897,1000,15,1.28591697546004,1000,15,568223.256831632,1000,15,0.861577747211106,1000,15,1.55238361976903,1000,15,1.09364572936985,1000,15,1.02243501609978,1000,15,1.06558828746883,1000,15,1.18460344890553,1000,15,0.856908521515591,1000,15,1.05269516150238,1000,15,5.71163591076537,1000,15,4.30377191546887,1000
"16",16,0.906626153328623,1000,16,1.14058646126513,1000,16,0.806567359286959,1000,16,1.13820026610841,1000,16,0.992481890064087,1000,16,1.049851114949,1000,16,1.23509063158449,1000,16,1.02944483544596,1000,16,1.27727333972672,1000,16,8654552580146016,1000,16,0.936804610266408,1000,16,0.862895493585689,1000,16,0.962312830028048,1000,16,1.35525191116633,1000,16,1.16991894667324,1000,16,0.945208584926878,1000,16,0.784336499337868,1000,16,0.893921371339864,1000,16,0.871855377525808,1000,16,3.00775841004704,1000
"17",17,1.15471853150185,1000,17,0.846876741781911,1000,17,0.878057935106972,1000,17,1.09484050906976,1000,17,1.01115671096253,1000,17,1.15129440082538,1000,17,0.807084751276687,1000,17,0.852849531158112,1000,17,1.33272347826171,1000,17,4.7806915302472e+38,1000,17,1.4524140449379,1000,17,5.99033105364842,1000,17,4.31414026963416,1000,17,1.04329120326445,1000,17,1.02903419300228,1000,17,1.04304689091301,1000,17,1.92634372553308,1000,17,6.5176481393372,1000,17,0.806159223598287,1000,17,3.70618547930759,1000
"18",18,0.96602782664741,1000,18,0.849178497580501,1000,18,0.972251359061173,1000,18,0.964650590085299,1000,18,1.05682613216822,1000,18,0.983100731102737,1000,18,0.856109117221326,1000,18,1.39475248973052,1000,18,1.17356262741031,1000,18,147594.459441779,1000,18,0.948471640677205,1000,18,1.9536959656402,1000,18,1.28173596199519,1000,18,1.1226037235429,1000,18,1.88403713327384,1000,18,0.923411426722659,1000,18,1.1534789737594,1000,18,1.2831054863105,1000,18,2.06810988700832,1000,18,1.67088782609376,1000
"19",19,0.972813076149427,1000,19,0.877559662800183,1000,19,1.03876359307864,1000,19,1.18266007003297,1000,19,1.14465642142485,1000,19,0.952958195694435,1000,19,0.88827033732577,1000,19,0.733951724428564,1000,19,1.40240469966924,1000,19,1278756747941.45,1000,19,0.765768968114524,1000,19,1.14711855373696,1000,19,1.09918442675216,1000,19,1.03964125161372,1000,19,1.29143980380231,1000,19,1.0255968653051,1000,19,1.81484500272347,1000,19,1.07370184035118,1000,19,2.5610765654962,1000,19,4.88738313742145,1000
