"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9","replicate_id.10","undershoot_ratio.10","subsample.10","replicate_id.11","undershoot_ratio.11","subsample.11","replicate_id.12","undershoot_ratio.12","subsample.12","replicate_id.13","undershoot_ratio.13","subsample.13","replicate_id.14","undershoot_ratio.14","subsample.14","replicate_id.15","undershoot_ratio.15","subsample.15","replicate_id.16","undershoot_ratio.16","subsample.16","replicate_id.17","undershoot_ratio.17","subsample.17","replicate_id.18","undershoot_ratio.18","subsample.18","replicate_id.19","undershoot_ratio.19","subsample.19"
"1",1,1.35344034929611,1000,1,1.31520437144111,1000,1,1.10044827961257,1000,1,0.998707287473273,1000,1,0.952792401734163,1000,1,1.19196864270892,1000,1,1.14025615459098,1000,1,1.11118588045119,1000,1,1.26289824770235,1000,1,17.1668686173698,1000,1,0.980933114219704,1000,1,1.14885471414774,1000,1,1.32137859396244,1000,1,1.14003902959565,1000,1,1.14972609871812,1000,1,1.04903498646852,1000,1,1.21170715741699,1000,1,1.21629081818898,1000,1,1.00325508182598,1000,1,3.48976711723742,1000
"2",2,1.17762530972145,1000,2,1.01827304554319,1000,2,1.13219292266783,1000,2,0.905320621524117,1000,2,1.09652653565629,1000,2,0.989613489130871,1000,2,0.940073080481201,1000,2,1.05802318104479,1000,2,1.22728551030024,1000,2,15.915943386895,1000,2,1.0160562825824,1000,2,1.17745686774439,1000,2,1.09273624982654,1000,2,1.07076783229381,1000,2,1.16339596297573,1000,2,1.12426534186836,1000,2,1.14782016464293,1000,2,1.43349592559511,1000,2,1.01057754276827,1000,2,5.28789322277701,1000
"3",3,1.17449815051452,1000,3,1.08179674745225,1000,3,1.39923559161795,1000,3,1.16910150002426,1000,3,1.40382074394513,1000,3,1.15522980958817,1000,3,0.981486744657515,1000,3,1.21806381744492,1000,3,1.36828064765367,1000,3,16.3595175762513,1000,3,1.04998625165863,1000,3,1.22802092442259,1000,3,1.1406012445264,1000,3,1.10314510411674,1000,3,1.13778525721973,1000,3,1.05090950309232,1000,3,1.10734968266438,1000,3,1.30704979108105,1000,3,1.24025308625709,1000,3,2.38881393862994,1000
"4",4,1.22537164702234,1000,4,1.20156871250341,1000,4,1.31756061855456,1000,4,1.43906402583891,1000,4,1.11465023446729,1000,4,1.01425515127071,1000,4,1.12392015294986,1000,4,1.2109679722256,1000,4,1.01565637177049,1000,4,49.149435026701,1000,4,1.28938000851573,1000,4,1.15314195195769,1000,4,1.06444249639405,1000,4,1.45329442651507,1000,4,1.05747194613505,1000,4,1.11435031140885,1000,4,1.19884525293467,1000,4,1.03494477539858,1000,4,1.13821455062578,1000,4,1.81656549977242,1000
"5",5,1.4634129941929,1000,5,1.01121818886442,1000,5,0.929295071952632,1000,5,1.13774447637097,1000,5,1.10128393767641,1000,5,0.989853247839691,1000,5,1.05312917142169,1000,5,1.25881727343115,1000,5,1.09912138914373,1000,5,15.666691374292,1000,5,1.45127902085151,1000,5,0.998894212272197,1000,5,1.26069731964285,1000,5,1.07048563630466,1000,5,1.17306020920757,1000,5,1.0362943108312,1000,5,1.00705963967353,1000,5,1.73355591891975,1000,5,0.887064216776478,1000,5,2.3589468931994,1000
"6",6,1.14350975314108,1000,6,1.23191377500986,1000,6,0.969150461611054,1000,6,1.31575030467667,1000,6,0.963697267674395,1000,6,1.00297112281943,1000,6,1.17740886334189,1000,6,2.10273512850346,1000,6,1.08647444901548,1000,6,3.11063645442977,1000,6,1.20954871858487,1000,6,1.09163263665176,1000,6,1.1421444880929,1000,6,0.928689214741446,1000,6,1.26978270395357,1000,6,1.1570999618888,1000,6,1.01615942765685,1000,6,1.23463805598893,1000,6,1.12364398079793,1000,6,1.8051291191209,1000
"7",7,1.05498501461892,1000,7,1.01287885306127,1000,7,1.1144957036727,1000,7,1.1206416294057,1000,7,1.13276878701138,1000,7,1.02747160814472,1000,7,1.02996968101273,1000,7,0.995123496164157,1000,7,1.19618138075981,1000,7,3.37582439627199,1000,7,1.35396500536885,1000,7,0.97563736480523,1000,7,1.03758270777896,1000,7,1.04576149244091,1000,7,1.09335453534129,1000,7,1.13563201322391,1000,7,1.05637961583328,1000,7,1.03338779877076,1000,7,1.15103532265046,1000,7,2.04607249796405,1000
"8",8,1.17859474025743,1000,8,1.03604524480207,1000,8,1.05463263678661,1000,8,1.02649131412468,1000,8,1.05413279584272,1000,8,1.21093551042301,1000,8,1.05845196948029,1000,8,1.01876727313833,1000,8,1.12099548672579,1000,8,5.4149192521594,1000,8,1.32501918328882,1000,8,1.18314893630557,1000,8,1.14558749349911,1000,8,1.2209005557401,1000,8,1.32698932859176,1000,8,1.03301731366786,1000,8,0.951967769138582,1000,8,1.02295192058333,1000,8,1.06802370505102,1000,8,2.6837789613436,1000
"9",9,0.915279158673115,1000,9,1.17647054927365,1000,9,1.079788114399,1000,9,1.1117394430114,1000,9,0.977487749889892,1000,9,0.903111995179609,1000,9,0.902380023940297,1000,9,1.07219545246979,1000,9,1.39094394194844,1000,9,598.419315244333,1000,9,1.00389444815509,1000,9,1.13368603230211,1000,9,1.16447344171478,1000,9,1.92440759600279,1000,9,1.01757878788376,1000,9,0.907790726248994,1000,9,0.99188590714956,1000,9,1.09821347016834,1000,9,1.13694050986452,1000,9,1.58923693677483,1000
"10",10,1.23327817331484,1000,10,1.06056015514955,1000,10,1.22308770986055,1000,10,0.996484954525753,1000,10,1.26299475142074,1000,10,1.02061634480373,1000,10,1.04318605056384,1000,10,1.13546150753874,1000,10,1.45536819225087,1000,10,18.3503025786554,1000,10,1.07805301472499,1000,10,1.03079792003991,1000,10,1.35546103948529,1000,10,1.14382836498463,1000,10,1.01154807250055,1000,10,1.05084530434973,1000,10,1.20770174150089,1000,10,1.17753148810824,1000,10,1.16803364285281,1000,10,1.87699448333423,1000
