"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"1",1,0.757308483659742,1000,1,1.01657429931088,1000,1,0.897959489019293,1000,1,4.69664668369213,1000,1,2.00734866654654,1000,1,0.875874798044547,1000,1,1.0310441009968,1000,1,2.51375647965835,1000,1,1.21194783847721,1000,1,3.48172787864723,1000
"2",2,0.765287131194475,1000,2,3.18781321840855,1000,2,2.44811522900565,1000,2,1.00712289435202,1000,2,0.960833363977331,1000,2,1.15656796293749,1000,2,2.17151421340485,1000,2,0.962370259849052,1000,2,1.98903030344905,1000,2,3.26399274201086,1000
"3",3,0.976195911805761,1000,3,1.00051314829459,1000,3,0.915287096495943,1000,3,1.20555639660942,1000,3,1.56690422730203,1000,3,0.779081983895142,1000,3,3.67116315124939,1000,3,1.96186585771472,1000,3,1.99510321840421,1000,3,4.21697020471501,1000
"4",4,0.819702602416151,1000,4,1.0165388845734,1000,4,1.00399906249568,1000,4,1.11499759563636,1000,4,2.49757567780738,1000,4,0.889456161806418,1000,4,0.964244506770516,1000,4,2.28567482822729,1000,4,1.16550825532945,1000,4,3.7719816263857,1000
"5",5,1.00002204530789,1000,5,0.912770856988233,1000,5,1.25375035168486,1000,5,1.66548993569212,1000,5,1.26630389100923,1000,5,0.879298192630736,1000,5,0.870002202088785,1000,5,0.833956795072347,1000,5,3.51420171349299,1000,5,2.93825576500526,1000
"6",6,0.81074012941507,1000,6,0.935506191749815,1000,6,0.971581023583572,1000,6,0.795118165235783,1000,6,1.72000666748669,1000,6,0.97995617783824,1000,6,1.95529024990309,1000,6,0.915466260419373,1000,6,1.68663574500189,1000,6,9.02498520793876,1000
"7",7,1.21511629791119,1000,7,1.72855865967759,1000,7,1.20588670153239,1000,7,1.38378331903252,1000,7,3.38888694889607,1000,7,1.0634094084339,1000,7,0.921059252700048,1000,7,2.42441596535758,1000,7,2.11713160634595,1000,7,2.64688956066295,1000
"8",8,1.89280481909143,1000,8,3.39663378578616,1000,8,0.79130459141436,1000,8,0.989267724027306,1000,8,1.01335198876642,1000,8,1.27252615679578,1000,8,2.42158652054133,1000,8,2.85607220749635,1000,8,1.3102482551546,1000,8,2.1238951284497,1000
"9",9,2.90773198234529,1000,9,1.01529399913122,1000,9,2.53212647381745,1000,9,3.03011617928669,1000,9,0.997772033155454,1000,9,0.976481071873118,1000,9,1.18323109118618,1000,9,1.34641577768589,1000,9,1.37104206979549,1000,9,2.26536465747452,1000
"10",10,1.0556600354547,1000,10,1.14369364187948,1000,10,1.10856492264951,1000,10,5.33431281559669,1000,10,2.74809564597692,1000,10,1.89447570642799,1000,10,1.37021905965144,1000,10,2.23262371233808,1000,10,1.18227100211047,1000,10,4.82459066993147,1000
"11",11,1.20601158081872,1000,11,2.22563270396307,1000,11,0.988028833508852,1000,11,0.888650250262844,1000,11,1.65825437225751,1000,11,0.942260714919532,1000,11,2.15466355889323,1000,11,1.86952411322665,1000,11,0.89201136110307,1000,11,3.89619010393492,1000
"12",12,0.759978453168015,1000,12,0.822968077005808,1000,12,0.86518714378901,1000,12,0.947285882173757,1000,12,2.52294163847285,1000,12,0.925688914222002,1000,12,1.52367589048087,1000,12,1.37363255065052,1000,12,1.72140716570954,1000,12,5.00461631718398,1000
"13",13,0.882672642863382,1000,13,1.59931851653677,1000,13,0.996807512798323,1000,13,1.00753945848984,1000,13,0.811102390943338,1000,13,1.01050104261135,1000,13,1.05365668689912,1000,13,0.988837839765475,1000,13,13.8396823178567,1000,13,2.73769900244749,1000
"14",14,0.922167330156788,1000,14,1.74522676243871,1000,14,0.806753571425355,1000,14,1.11824340075258,1000,14,3.76854662164984,1000,14,1.32245486909519,1000,14,1.2213122858015,1000,14,2.28997318272542,1000,14,3.85814616356421,1000,14,6.52899965382016,1000
"15",15,0.861577747211106,1000,15,1.55238361976903,1000,15,1.09364572936985,1000,15,1.02243501609978,1000,15,1.06558828746883,1000,15,1.18460344890553,1000,15,0.856908521515591,1000,15,1.05269516150238,1000,15,5.71163591076537,1000,15,4.30377191546887,1000
"16",16,0.936804610266408,1000,16,0.862895493585689,1000,16,0.962312830028048,1000,16,1.35525191116633,1000,16,1.16991894667324,1000,16,0.945208584926878,1000,16,0.784336499337868,1000,16,0.893921371339864,1000,16,0.871855377525808,1000,16,3.00775841004704,1000
"17",17,1.4524140449379,1000,17,5.99033105364842,1000,17,4.31414026963416,1000,17,1.04329120326445,1000,17,1.02903419300228,1000,17,1.04304689091301,1000,17,1.92634372553308,1000,17,6.5176481393372,1000,17,0.806159223598287,1000,17,3.70618547930759,1000
"18",18,0.948471640677205,1000,18,1.9536959656402,1000,18,1.28173596199519,1000,18,1.1226037235429,1000,18,1.88403713327384,1000,18,0.923411426722659,1000,18,1.1534789737594,1000,18,1.2831054863105,1000,18,2.06810988700832,1000,18,1.67088782609376,1000
"19",19,0.765768968114524,1000,19,1.14711855373696,1000,19,1.09918442675216,1000,19,1.03964125161372,1000,19,1.29143980380231,1000,19,1.0255968653051,1000,19,1.81484500272347,1000,19,1.07370184035118,1000,19,2.5610765654962,1000,19,4.88738313742145,1000
"20",20,0.987141764202601,1000,20,0.963352855239372,1000,20,0.922439177213694,1000,20,10.7932967488607,1000,20,0.884124397996878,1000,20,0.937892933754159,1000,20,0.848548530765994,1000,20,1.98071923426859,1000,20,1.06651170296794,1000,20,11.204785040691,1000
"21",21,3.5081099041049,1000,21,1.23774781675124,1000,21,0.985660829241334,1000,21,4.00199401882029,1000,21,1.69884479143639,1000,21,2.59284974515086,1000,21,1.08488207130338,1000,21,1.56350281975928,1000,21,0.871172217095314,1000,21,6.3603880981396,1000
"22",22,1.15760556242057,1000,22,1.64375338696551,1000,22,1.22317491589585,1000,22,1.22979355639708,1000,22,3.63772131187867,1000,22,0.857662095230247,1000,22,1.19877245294755,1000,22,1.19188975867539,1000,22,1.99306982428474,1000,22,2.55199182696491,1000
"23",23,0.860206432157348,1000,23,0.847392778553167,1000,23,2.06486943380761,1000,23,7.50827769410342,1000,23,0.866082860571307,1000,23,0.886365024341718,1000,23,1.64860249218379,1000,23,2.61325452415728,1000,23,0.768331841122989,1000,23,3.91712987327093,1000
"24",24,1.99409748996604,1000,24,0.853284332220688,1000,24,0.935661359883878,1000,24,7.00769855297686,1000,24,2.31740471474146,1000,24,1.01328792996954,1000,24,0.92078670643814,1000,24,1.14694344069292,1000,24,4.07974951464687,1000,24,4.30165351803883,1000
"25",25,1.01818354730936,1000,25,1.0603151049387,1000,25,2.05463323150254,1000,25,2.04340923876439,1000,25,1.10400126105114,1000,25,1.64717239963941,1000,25,1.1430164947714,1000,25,1.01505025818968,1000,25,0.925619050852688,1000,25,3.45701829809174,1000
"26",26,2.79265615888604,1000,26,0.896784681940227,1000,26,1.21092259838251,1000,26,1.61823953695696,1000,26,0.991950216971675,1000,26,1.24696361075438,1000,26,2.1546475128061,1000,26,0.941660124230649,1000,26,0.916247387077902,1000,26,2.48705543146233,1000
"27",27,2.68771840937769,1000,27,1.00646404852566,1000,27,1.06403098453973,1000,27,1.01955997046361,1000,27,0.930636492327567,1000,27,1.27444754744382,1000,27,0.893574595996157,1000,27,0.988930499261056,1000,27,0.923294506895804,1000,27,2.82632744017281,1000
"28",28,1.66871080208564,1000,28,1.03206323188192,1000,28,0.983086689197998,1000,28,0.872039970498507,1000,28,0.712610601790114,1000,28,0.833983167234135,1000,28,1.62912811923326,1000,28,1.2991888671394,1000,28,4.73385946406819,1000,28,2.56486368605529,1000
"29",29,2.24833167958382,1000,29,1.54791065914595,1000,29,2.17836839332009,1000,29,0.848696664370757,1000,29,0.886766504192264,1000,29,1.0382868467541,1000,29,1.39293834900765,1000,29,0.990539835711513,1000,29,0.873848288891937,1000,29,4.0750742997349,1000
"30",30,1.11824427445383,1000,30,5.34179785889303,1000,30,0.808782369180279,1000,30,1.04819393582565,1000,30,1.04269089955309,1000,30,1.17492861122991,1000,30,1.37868262335309,1000,30,0.781236555445176,1000,30,7.33544804613802,1000,30,3.82160050625197,1000
"31",31,0.866083637462111,1000,31,0.976142281572543,1000,31,0.883857846436418,1000,31,2.84527953122637,1000,31,1.11729819052484,1000,31,1.14255363014827,1000,31,1.80810792409869,1000,31,2.91174958179202,1000,31,2.12519255789244,1000,31,2.1216652797588,1000
"32",32,2.47824457834669,1000,32,0.854486174239186,1000,32,1.05601206377015,1000,32,1.94003895000924,1000,32,0.972469031442467,1000,32,1.87552761895733,1000,32,1.00898169549026,1000,32,0.848758599460672,1000,32,2.00609013523958,1000,32,1.78818349034765,1000
"33",33,0.942471049280383,1000,33,2.087088374779,1000,33,0.934874842885365,1000,33,2.08756393546908,1000,33,5.62012931390065,1000,33,0.961381692664548,1000,33,0.86464174791937,1000,33,0.816680343685358,1000,33,1.14046566436803,1000,33,2.87225175711009,1000
"34",34,1.06805356817329,1000,34,0.925565980784257,1000,34,0.956280010938862,1000,34,1.05827071879895,1000,34,3.15160800727001,1000,34,0.885832513006394,1000,34,0.704400913918244,1000,34,2.80192392642371,1000,34,2.99625829423799,1000,34,5.2941288128125,1000
"35",35,0.939962613658918,1000,35,1.57162546988277,1000,35,1.08556424666695,1000,35,1.64613893950061,1000,35,0.945256501462409,1000,35,0.943650573681033,1000,35,1.08801265718647,1000,35,1.52827154386904,1000,35,1.10740303072538,1000,35,1.8559548449288,1000
"36",36,6.07229029839399,1000,36,0.919782498144021,1000,36,0.914164726450537,1000,36,1.02234594234973,1000,36,0.932151464584795,1000,36,1.68923057876935,1000,36,1.13087758699814,1000,36,1.47398226039814,1000,36,1.23251315601123,1000,36,4.04534728347681,1000
"37",37,1.11602887738845,1000,37,1.2855724821517,1000,37,0.836819383422542,1000,37,0.964091903682311,1000,37,1.20154286742183,1000,37,0.769029742932604,1000,37,0.965717910830562,1000,37,0.914959037180024,1000,37,0.792321233442484,1000,37,3.91294939857456,1000
"38",38,0.94938589118225,1000,38,0.826829824912349,1000,38,0.899590887390968,1000,38,2.11180407711516,1000,38,1.70148201211235,1000,38,2.74602721642728,1000,38,2.31291950887603,1000,38,1.1382795547535,1000,38,2.42712486168465,1000,38,5.1298617685878,1000
"39",39,1.4242059880731,1000,39,0.940651208965232,1000,39,0.913020629668698,1000,39,1.5249476667652,1000,39,0.862157783534103,1000,39,1.05624314278086,1000,39,0.882747014861165,1000,39,1.83740021645699,1000,39,1.32087341664195,1000,39,1.45791579363369,1000
"40",40,1.81272261836797,1000,40,0.940600013172287,1000,40,1.51027404326524,1000,40,2.26780869352564,1000,40,2.32642231947485,1000,40,1.44038678717998,1000,40,0.831799593926297,1000,40,0.866629916472837,1000,40,3.94468391305549,1000,40,6.89350737782873,1000
