"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9","replicate_id.10","undershoot_ratio.10","subsample.10","replicate_id.11","undershoot_ratio.11","subsample.11","replicate_id.12","undershoot_ratio.12","subsample.12","replicate_id.13","undershoot_ratio.13","subsample.13","replicate_id.14","undershoot_ratio.14","subsample.14","replicate_id.15","undershoot_ratio.15","subsample.15","replicate_id.16","undershoot_ratio.16","subsample.16","replicate_id.17","undershoot_ratio.17","subsample.17","replicate_id.18","undershoot_ratio.18","subsample.18","replicate_id.19","undershoot_ratio.19","subsample.19"
"1",1,1.28719071930356,1000,1,0.92814202096142,1000,1,1.20234673810513,1000,1,0.926066800614279,1000,1,0.916478346377957,1000,1,1.38005731656237,1000,1,0.964192882770072,1000,1,0.99713662271329,1000,1,0.84155365800056,1000,1,1.25886794177176,1000,1,1.03506906850154,1000,1,1.15335478477901,1000,1,0.817544843537174,1000,1,0.903844144197326,1000,1,2.026705729869,1000,1,0.870526958816571,1000,1,1.7282211484297,1000,1,4.92187207308761,1000,1,0.965747841694949,1000,1,2.74293459788992,1000
"2",2,1.05226586859638,1000,2,0.84343720241123,1000,2,1.14991669066037,1000,2,0.80716580471864,1000,2,0.964653701326718,1000,2,1.39197583114006,1000,2,0.891619906229188,1000,2,0.953303155605271,1000,2,1.12746902241121,1000,2,1.3858643462957,1000,2,0.876788779819916,1000,2,0.934458303465025,1000,2,1.00380765628978,1000,2,1.0876644060196,1000,2,0.93003107276025,1000,2,1.92643730408904,1000,2,2.0145964401902,1000,2,2.46270549521904,1000,2,1.56309676717521,1000,2,2.91065749090768,1000
"3",3,0.915913027624975,1000,3,0.938635295890204,1000,3,1.0030728458657,1000,3,1.04178689688547,1000,3,1.32347332581655,1000,3,0.933255604131422,1000,3,1.01242599660691,1000,3,0.867410125210405,1000,3,1.08939705602667,1000,3,1.19169647941621,1000,3,1.24311651135723,1000,3,2.45380553145823,1000,3,0.794523143670092,1000,3,1.62706219492217,1000,3,0.935766300145233,1000,3,4.19221913804178,1000,3,1.06227289763967,1000,3,1.65435589690058,1000,3,1.66350350869737,1000,3,6.61016725461929,1000
"4",4,0.845655229507232,1000,4,0.913501412313834,1000,4,0.951596394147882,1000,4,1.17279193766536,1000,4,0.852353800952991,1000,4,1.01691304781607,1000,4,1.08510740383879,1000,4,1.10934036980631,1000,4,2.84348087445689,1000,4,1.52627654230463,1000,4,0.853224561342612,1000,4,2.26014733037086,1000,4,0.934321476660999,1000,4,1.70841898753089,1000,4,1.29936095362141,1000,4,1.04708892286818,1000,4,2.08491004961212,1000,4,0.907054203439056,1000,4,1.22714675944841,1000,4,24.1518896673246,1000
"5",5,1.03765908893166,1000,5,0.904142190100663,1000,5,0.880485266163827,1000,5,1.39428591537966,1000,5,0.974258387629928,1000,5,0.988229130872216,1000,5,0.893303090815283,1000,5,0.903233561971037,1000,5,1.22507564381981,1000,5,1.66284032851611,1000,5,1.17248562954313,1000,5,0.89545420095146,1000,5,0.970402355801171,1000,5,1.39482289753082,1000,5,0.883582721177954,1000,5,0.875695456435767,1000,5,1.19513368963115,1000,5,1.14908244165986,1000,5,3.50921611796456,1000,5,3.5271442858913,1000
"6",6,1.01042988074442,1000,6,1.04168914603348,1000,6,1.28313849548896,1000,6,1.05725092704597,1000,6,1.12866088898634,1000,6,1.91248791481144,1000,6,1.00999287109579,1000,6,1.05085146282006,1000,6,0.928396882154179,1000,6,1.51619859746768,1000,6,1.05857967366417,1000,6,0.912875360212099,1000,6,0.923614836555732,1000,6,1.6191201849517,1000,6,1.30163415054565,1000,6,2.21927985904275,1000,6,2.10421210229608,1000,6,1.10997514526245,1000,6,4.61025683214958,1000,6,4.10503091992042,1000
"7",7,1.02767763800563,1000,7,0.880918160876942,1000,7,1.22443132238663,1000,7,0.951275519339472,1000,7,2.01601127662052,1000,7,0.893886873227821,1000,7,1.15403573126917,1000,7,1.46409080128844,1000,7,1.03465359426935,1000,7,1.82235098974465,1000,7,1.39365907212848,1000,7,1.035084095863,1000,7,0.861676306674974,1000,7,0.941711363661207,1000,7,0.96536712947165,1000,7,1.2046072829389,1000,7,2.79788206531293,1000,7,2.14757980413251,1000,7,2.13898691104015,1000,7,1.46098463547021,1000
"8",8,1.96620824278345,1000,8,1.00514149092319,1000,8,0.974259406549183,1000,8,0.970437229695752,1000,8,1.01694296807224,1000,8,0.929948981187407,1000,8,1.01495109723687,1000,8,0.94032912411276,1000,8,1.03396509687265,1000,8,1.1187799975046,1000,8,1.61535226618576,1000,8,1.45128947694352,1000,8,1.03081501524014,1000,8,1.52876552059817,1000,8,1.61523205131556,1000,8,1.4630521617317,1000,8,0.917717183645706,1000,8,2.31994105360417,1000,8,8.9190241618004,1000,8,3.51622499309786,1000
"9",9,1.07694435355498,1000,9,0.944910461853928,1000,9,1.06635713144036,1000,9,0.898601427032387,1000,9,1.20494069409497,1000,9,1.07117030505479,1000,9,0.893596374058077,1000,9,1.14760736799606,1000,9,1.82537755964297,1000,9,1.78689622495468,1000,9,1.15552805301259,1000,9,0.977024651792071,1000,9,1.01920266234428,1000,9,1.30259967185676,1000,9,8.02413223033151,1000,9,0.916347931352459,1000,9,0.890119452141296,1000,9,0.893669596884221,1000,9,6.64530922919875,1000,9,6.81643441926713,1000
"10",10,1.10601624370989,1000,10,0.94191873416427,1000,10,0.986554496086999,1000,10,0.862934801909493,1000,10,1.24390629323495,1000,10,0.899928426527273,1000,10,0.904074196093262,1000,10,1.01562727255732,1000,10,1.18344377858683,1000,10,2.17605717189928,1000,10,1.00807450394639,1000,10,1.21521467581233,1000,10,0.983898114303014,1000,10,1.03829275600816,1000,10,0.925518738087147,1000,10,0.837502205884822,1000,10,0.909080335239466,1000,10,2.9312073210045,1000,10,1.23852163665513,1000,10,1.39701180958723,1000
