"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9","replicate_id.10","undershoot_ratio.10","subsample.10","replicate_id.11","undershoot_ratio.11","subsample.11","replicate_id.12","undershoot_ratio.12","subsample.12","replicate_id.13","undershoot_ratio.13","subsample.13","replicate_id.14","undershoot_ratio.14","subsample.14","replicate_id.15","undershoot_ratio.15","subsample.15","replicate_id.16","undershoot_ratio.16","subsample.16","replicate_id.17","undershoot_ratio.17","subsample.17","replicate_id.18","undershoot_ratio.18","subsample.18","replicate_id.19","undershoot_ratio.19","subsample.19"
"1",1,1.37404694665106,1000,1,1.46976844066123,1000,1,1.03090781899702,1000,1,1.00452998731344,1000,1,1.43702929385936,1000,1,1.08201880183049,1000,1,0.950370412357106,1000,1,1.42776622380361,1000,1,1.08952622621232,1000,1,1.46485479941109,1000,1,1.23907376583516,1000,1,1.23146791764316,1000,1,1.21522628076609,1000,1,1.09289367201465,1000,1,1.21386465806395,1000,1,1.07004079996846,1000,1,1.02563135099368,1000,1,1.05382019026057,1000,1,1.3149723110174,1000,1,1.0163305209479,1000
"2",2,1.3754942832368,1000,2,1.20872596298399,1000,2,0.90978788961275,1000,2,1.14112752476974,1000,2,1.23838853000839,1000,2,1.1139250381228,1000,2,1.55652265623961,1000,2,1.62465517738865,1000,2,1.65508039364067,1000,2,1.3271136128333,1000,2,0.988136189321288,1000,2,1.19558657524973,1000,2,1.01354382113089,1000,2,1.36814978879761,1000,2,1.19059820908815,1000,2,1.17035153263536,1000,2,1.34615713986602,1000,2,1.08900867935981,1000,2,1.55546745339177,1000,2,1.35299222130396,1000
"3",3,1.00171256217243,1000,3,1.14528956508344,1000,3,0.95524046281963,1000,3,1.20970123254172,1000,3,1.19794890796611,1000,3,1.21261420242723,1000,3,1.02912123570938,1000,3,1.09371413150419,1000,3,0.939199132912564,1000,3,1.39638190015237,1000,3,1.07474219408378,1000,3,1.13053172904361,1000,3,1.10912334141859,1000,3,1.18958569926434,1000,3,0.992455448406269,1000,3,1.08182186311575,1000,3,1.54880153374384,1000,3,1.02627147295462,1000,3,1.07524689241324,1000,3,1.15138020189282,1000
"4",4,0.969868634785382,1000,4,0.915113392954476,1000,4,1.20127116855057,1000,4,1.33042795566045,1000,4,1.13363948490498,1000,4,1.09254717290683,1000,4,1.03379195822836,1000,4,1.13811411707456,1000,4,1.11407258613084,1000,4,1.36705656503416,1000,4,0.992162040961083,1000,4,1.14715935772321,1000,4,1.23616673170913,1000,4,1.07500992403647,1000,4,1.03562968182785,1000,4,1.4520202353824,1000,4,1.06245007594084,1000,4,1.22915718568933,1000,4,1.42228716020111,1000,4,1.04420521050731,1000
"5",5,0.954139977954225,1000,5,0.896756571089179,1000,5,1.1357320799499,1000,5,1.11538583685141,1000,5,1.1322782099035,1000,5,1.01453343691166,1000,5,1.16476855779384,1000,5,1.01151165934074,1000,5,1.19786867289032,1000,5,1.66277515171109,1000,5,1.10188583476356,1000,5,1.31142987771315,1000,5,1.29840553472078,1000,5,1.07143407474198,1000,5,1.01046374082471,1000,5,1.12886744998356,1000,5,1.2331287645715,1000,5,1.11793016922603,1000,5,1.45383987778828,1000,5,1.38345418969935,1000
"6",6,1.04681422816873,1000,6,1.00080905986833,1000,6,1.18434253324983,1000,6,1.12511972391106,1000,6,1.20522366466254,1000,6,0.985433361697077,1000,6,1.04278549708611,1000,6,1.2458512278614,1000,6,1.11911595122147,1000,6,1.65237158312662,1000,6,1.18926560372817,1000,6,0.92212980900084,1000,6,1.0702165713374,1000,6,1.50578937526198,1000,6,1.20512317247396,1000,6,1.13252232458764,1000,6,1.02456931583863,1000,6,1.07908643821775,1000,6,1.17393164725737,1000,6,1.2306412610933,1000
"7",7,0.968799936575252,1000,7,1.61516504747907,1000,7,1.27725872618569,1000,7,1.24234827988822,1000,7,0.988206730123607,1000,7,1.00327037099499,1000,7,1.05452253532096,1000,7,1.09702355957378,1000,7,1.29859726808615,1000,7,1.11533667803134,1000,7,1.05706562233044,1000,7,1.01292282190321,1000,7,0.970474855985491,1000,7,1.3753661028105,1000,7,1.20490507755333,1000,7,1.01317778479099,1000,7,1.10461039291344,1000,7,1.31429516286712,1000,7,1.13078615648707,1000,7,1.18691158123883,1000
"8",8,1.48664132485968,1000,8,1.05296992243589,1000,8,1.0150187651137,1000,8,0.961450110631343,1000,8,1.03912190811885,1000,8,1.09713968882386,1000,8,1.01446134555275,1000,8,0.949962592270056,1000,8,1.07669428877815,1000,8,1.1289466758052,1000,8,1.0222785012126,1000,8,1.09320635136867,1000,8,1.17315848038553,1000,8,0.993115373929675,1000,8,1.02972596118064,1000,8,1.14019460876223,1000,8,1.02831989468075,1000,8,0.931309131120984,1000,8,1.16714052825547,1000,8,1.17292629096471,1000
"9",9,1.34601201148453,1000,9,1.13567880775872,1000,9,1.28703493689151,1000,9,1.08588176153858,1000,9,1.18920287797335,1000,9,0.953559805278902,1000,9,1.11664863551969,1000,9,1.24870024703681,1000,9,1.63388667805545,1000,9,1.25658318187382,1000,9,1.14037550876862,1000,9,1.10222211391674,1000,9,1.15916931110494,1000,9,1.02808271723337,1000,9,1.17672317196584,1000,9,1.10847786400571,1000,9,1.29439150457072,1000,9,1.01921339073477,1000,9,1.48151897914637,1000,9,1.48501888976077,1000
"10",10,1.24126837736757,1000,10,1.32143192946459,1000,10,0.958268051746148,1000,10,1.15323599857608,1000,10,1.33176487030778,1000,10,1.05115538003433,1000,10,1.01803933437414,1000,10,1.02565776891667,1000,10,1.81813420651743,1000,10,1.36009333417712,1000,10,1.09633334937074,1000,10,1.1398622129663,1000,10,1.00697470027777,1000,10,1.13822917303292,1000,10,1.09188291393216,1000,10,1.012868538796,1000,10,1.1506365960063,1000,10,1.57086529399345,1000,10,1.2882207022547,1000,10,1.2710218128436,1000
"11",11,1.10584593002944,1000,11,0.96908612887823,1000,11,1.2308438089039,1000,11,1.05196967401204,1000,11,1.52290452170996,1000,11,1.24219925172529,1000,11,1.19189928332289,1000,11,1.11274887821847,1000,11,1.08126821252912,1000,11,1.12066125686743,1000,11,1.02412481779283,1000,11,1.07062335285469,1000,11,1.46082162430503,1000,11,1.35234485392323,1000,11,1.06128670956922,1000,11,1.16046258390996,1000,11,1.02267811868185,1000,11,0.955687060840906,1000,11,1.30140355440742,1000,11,1.09978950221894,1000
"12",12,1.07771184949163,1000,12,0.911778511302333,1000,12,1.03952939991897,1000,12,1.01341963209242,1000,12,1.23893345058232,1000,12,1.63113519730023,1000,12,1.04986166866813,1000,12,1.08497537817026,1000,12,1.44534953668964,1000,12,1.56339375781222,1000,12,1.08239737242549,1000,12,1.19876497176387,1000,12,1.09489132137767,1000,12,1.62664759585295,1000,12,1.28172581813268,1000,12,1.36020237433141,1000,12,1.09797457177939,1000,12,1.22964067212345,1000,12,1.46010126077227,1000,12,1.23965520301568,1000
"13",13,1.06518095157717,1000,13,1.20055239090847,1000,13,1.22879117060992,1000,13,1.17191053885264,1000,13,1.17932108904303,1000,13,1.44982362517722,1000,13,1.16789587815529,1000,13,0.931810894532002,1000,13,1.28952061619617,1000,13,1.17949252612987,1000,13,1.42438927086872,1000,13,1.43574450793149,1000,13,1.05247594675663,1000,13,1.05361969058247,1000,13,1.36122137539238,1000,13,1.01848310694554,1000,13,1.01243699947491,1000,13,0.983797133721744,1000,13,1.11993219026328,1000,13,1.19981738536281,1000
"14",14,1.06846577749699,1000,14,1.16970641560657,1000,14,0.936446044901112,1000,14,0.965823256755111,1000,14,1.08381117505061,1000,14,0.921160699706954,1000,14,1.13792632330806,1000,14,1.37754542284401,1000,14,1.25898712631885,1000,14,1.22221181307687,1000,14,1.21598677016108,1000,14,1.18425154764069,1000,14,1.20342372895469,1000,14,1.0365703432387,1000,14,1.21721551320946,1000,14,1.00450290169001,1000,14,1.20802217409406,1000,14,1.05372331938526,1000,14,1.1092895165739,1000,14,1.2041719085276,1000
"15",15,1.22432823171054,1000,15,0.962232816684177,1000,15,1.0019612052029,1000,15,1.10521949296009,1000,15,1.20787435327325,1000,15,1.20212435005508,1000,15,0.999176929150129,1000,15,1.33282993080286,1000,15,1.01642607341903,1000,15,1.05443116654136,1000,15,1.11114136405975,1000,15,1.49864662677916,1000,15,0.935980584053493,1000,15,1.12227821947508,1000,15,1.14547098193774,1000,15,0.990369041544443,1000,15,1.0796780852003,1000,15,1.01225043738676,1000,15,1.2140323937551,1000,15,1.11901754800131,1000
"16",16,1.07983486100563,1000,16,1.2582968635809,1000,16,1.08593170742221,1000,16,1.12119875990478,1000,16,1.17422890179736,1000,16,1.24110271607657,1000,16,1.502006001055,1000,16,1.68264210542455,1000,16,1.31136633396279,1000,16,1.33243376913468,1000,16,1.37443760280292,1000,16,1.24781801585083,1000,16,1.68936010576663,1000,16,1.22885048524267,1000,16,1.05098605504463,1000,16,0.957711135410763,1000,16,0.964705203029604,1000,16,0.941652128728728,1000,16,1.27417877997432,1000,16,1.20198878572168,1000
"17",17,1.07946499071096,1000,17,1.13344628315604,1000,17,1.10313182431283,1000,17,1.15459528298396,1000,17,1.17680887523517,1000,17,1.13867953751674,1000,17,0.930569186940142,1000,17,1.02407601264326,1000,17,1.41492738318175,1000,17,1.05426614754822,1000,17,1.0388225616832,1000,17,1.27590605639012,1000,17,1.13118906671515,1000,17,0.97745937943073,1000,17,1.1067744133008,1000,17,1.05690907774072,1000,17,1.26604035795853,1000,17,1.16185608412747,1000,17,1.03938385618394,1000,17,1.11008762581663,1000
"18",18,1.20863235564963,1000,18,0.88747983003892,1000,18,1.36372550502491,1000,18,1.15969319817003,1000,18,1.19704217542937,1000,18,0.8878140243125,1000,18,1.10872998132364,1000,18,1.27073732708658,1000,18,0.985105163892963,1000,18,1.4700571028516,1000,18,1.03902493592851,1000,18,1.12526609728091,1000,18,1.19112597401337,1000,18,0.9311840987207,1000,18,1.19193583744536,1000,18,1.19802153581732,1000,18,1.11550043851621,1000,18,1.14229165514673,1000,18,1.48180258808934,1000,18,1.33201899978131,1000
"19",19,0.896521943495244,1000,19,1.14444169333561,1000,19,1.00181824905658,1000,19,1.05320742474617,1000,19,1.19786699650645,1000,19,0.903651894715495,1000,19,0.944960121722537,1000,19,1.10631471255302,1000,19,1.38548269822553,1000,19,0.966816307394423,1000,19,1.17282140638619,1000,19,1.29072581119533,1000,19,0.976925818546798,1000,19,0.957417990852652,1000,19,1.28536283772542,1000,19,1.1749694502944,1000,19,1.00922060771053,1000,19,1.0813146355943,1000,19,1.39377676147541,1000,19,1.38882600696508,1000
"20",20,1.35484515986496,1000,20,1.2092026179743,1000,20,0.96130938296089,1000,20,0.979826433700152,1000,20,1.43316236167218,1000,20,1.46556365132283,1000,20,1.02720099938646,1000,20,1.11225929992321,1000,20,1.10855917037975,1000,20,1.22486855620669,1000,20,1.10942503396391,1000,20,0.978975947773007,1000,20,1.0672578959802,1000,20,1.15281811738486,1000,20,1.03114289993692,1000,20,1.1645205160279,1000,20,1.19615040724095,1000,20,0.963855831931501,1000,20,1.22607885459276,1000,20,1.28229517386461,1000
"21",21,0.953750101388152,1000,21,1.10642508177446,1000,21,1.13144332081459,1000,21,1.13454896061488,1000,21,0.984506114560332,1000,21,1.04735231782842,1000,21,1.55353509732298,1000,21,1.30605419838956,1000,21,1.45763647199211,1000,21,1.44603310844576,1000,21,1.11703130950235,1000,21,0.980010755234409,1000,21,1.1661280508984,1000,21,1.15533066808053,1000,21,1.29277800329319,1000,21,1.063714558609,1000,21,1.24602545971911,1000,21,1.02716969958287,1000,21,1.72242754043384,1000,21,1.10324039123972,1000
"22",22,1.01427459028039,1000,22,1.20898324197317,1000,22,1.176367568428,1000,22,1.06956036762692,1000,22,1.14480444817603,1000,22,1.12807870210672,1000,22,0.882271603945494,1000,22,1.37488216427586,1000,22,1.3081508802972,1000,22,1.17921780613896,1000,22,1.22818848168734,1000,22,1.11471137969582,1000,22,1.05244005826403,1000,22,0.97168077358248,1000,22,1.09020495729648,1000,22,0.85961133307433,1000,22,1.20938025659634,1000,22,1.24360786878349,1000,22,1.44600697584199,1000,22,1.02803516889153,1000
"23",23,1.11614250893734,1000,23,1.15949810721327,1000,23,1.06078874769991,1000,23,1.08015772686954,1000,23,1.56114490861097,1000,23,1.11676634461311,1000,23,0.960686656112185,1000,23,1.64949323600435,1000,23,1.30904469738725,1000,23,1.44282699611542,1000,23,0.916547944011963,1000,23,1.07449761482355,1000,23,1.1006737657238,1000,23,1.3252492886293,1000,23,1.0446068689687,1000,23,0.970422861741758,1000,23,1.08756078497182,1000,23,0.910249869237943,1000,23,1.27662500861338,1000,23,1.18260615920768,1000
"24",24,1.05867681270498,1000,24,0.901155105286053,1000,24,1.00728149619761,1000,24,1.18633154980862,1000,24,1.22991546914944,1000,24,1.48648850649911,1000,24,1.06454017890836,1000,24,1.66878109206143,1000,24,1.56810069485069,1000,24,1.97882296053757,1000,24,0.908655691022644,1000,24,1.28674269003971,1000,24,1.14392135938798,1000,24,1.22518833071809,1000,24,1.17295270306433,1000,24,0.983775112965013,1000,24,1.1199130280837,1000,24,1.25044623884817,1000,24,1.00128788302973,1000,24,1.02566297880402,1000
"25",25,0.968073207762605,1000,25,0.914864008436486,1000,25,1.08340774335872,1000,25,0.99543242182547,1000,25,0.965141600419293,1000,25,1.62383109105224,1000,25,1.03097553601207,1000,25,0.909659121124425,1000,25,0.99654832769067,1000,25,1.40092702114575,1000,25,1.09181624307831,1000,25,1.03488720917641,1000,25,1.33830732588712,1000,25,1.06743882186633,1000,25,1.03698787483382,1000,25,1.05240412191051,1000,25,1.08246109092224,1000,25,1.07971598045713,1000,25,1.38448925897464,1000,25,1.21485196312074,1000
"26",26,1.1796472681245,1000,26,0.950837722060355,1000,26,0.968119827274451,1000,26,1.25439121564511,1000,26,1.0747301147334,1000,26,0.982773037819229,1000,26,0.999136956724997,1000,26,1.12774952845398,1000,26,1.20236638528825,1000,26,1.3393271209414,1000,26,1.20681450270641,1000,26,1.076581684107,1000,26,0.982241595602329,1000,26,1.155175842138,1000,26,1.22481761317521,1000,26,1.04000991947245,1000,26,1.0107402586616,1000,26,1.76212021730276,1000,26,1.24626536129818,1000,26,1.24039944919193,1000
"27",27,1.07511786561277,1000,27,1.24726588996448,1000,27,1.02823247089768,1000,27,0.91444193975544,1000,27,1.2316668108396,1000,27,1.23724873348008,1000,27,1.19322765517859,1000,27,0.885177848353775,1000,27,1.43868007145316,1000,27,0.973112707359846,1000,27,1.07240486776864,1000,27,1.06016429941775,1000,27,1.10808512804742,1000,27,1.04289561205428,1000,27,1.00690851327038,1000,27,1.27185367515242,1000,27,1.08851322671356,1000,27,1.19872022218356,1000,27,1.41526709840525,1000,27,1.22871003778286,1000
"28",28,0.975976107662463,1000,28,1.04579458139733,1000,28,0.963614823028766,1000,28,1.09806955242761,1000,28,1.21425273653032,1000,28,1.14447234347074,1000,28,1.03422266011183,1000,28,1.16470055681138,1000,28,0.934856140629379,1000,28,1.08687335250248,1000,28,1.07266747610913,1000,28,1.20529644205966,1000,28,1.27886973945489,1000,28,0.92250557199664,1000,28,0.991396557219632,1000,28,1.18924669570389,1000,28,1.00377904790976,1000,28,1.15110041612435,1000,28,1.09274027588628,1000,28,1.16923331197089,1000
"29",29,1.18847619361773,1000,29,1.68427352467202,1000,29,1.07623754113196,1000,29,1.10487944518681,1000,29,1.14850027711101,1000,29,1.02634364579697,1000,29,1.00831909357715,1000,29,0.945040304080009,1000,29,1.13177998794666,1000,29,1.17997245237426,1000,29,0.97187726596324,1000,29,0.985679720283396,1000,29,1.28001632317955,1000,29,1.1784826223209,1000,29,1.08507037330523,1000,29,1.01791213670913,1000,29,1.02326842836474,1000,29,1.00659222104919,1000,29,1.41770486583822,1000,29,1.42773407980505,1000
"30",30,1.11847544396201,1000,30,0.992357694043954,1000,30,1.14403884440235,1000,30,1.13326667272074,1000,30,1.07913724447714,1000,30,1.09360708376074,1000,30,1.08092814860514,1000,30,0.847225243531553,1000,30,1.62375085685727,1000,30,1.74603773810179,1000,30,1.09149376384465,1000,30,1.12440321583809,1000,30,1.21121449087091,1000,30,1.12596102643517,1000,30,1.1674720917311,1000,30,0.926788424497054,1000,30,1.07221205270365,1000,30,1.13818146666619,1000,30,1.037612914394,1000,30,0.990620825763736,1000
"31",31,1.09685548782774,1000,31,1.19024536053134,1000,31,0.940642240981561,1000,31,1.15823936486632,1000,31,1.15343597689755,1000,31,1.36364829591177,1000,31,0.967115208798443,1000,31,1.1533281082551,1000,31,1.25192279813813,1000,31,1.36596235642717,1000,31,1.36891952080134,1000,31,1.03154905399961,1000,31,1.02220306651871,1000,31,0.949865202640755,1000,31,1.08404354688244,1000,31,1.01282478945401,1000,31,1.05058966045241,1000,31,1.15885461893888,1000,31,1.16971826493141,1000,31,1.14791396925887,1000
"32",32,1.05548958028899,1000,32,1.16861700877212,1000,32,1.35612013490324,1000,32,0.982623915464615,1000,32,1.69728687877229,1000,32,1.10533636534939,1000,32,1.00790593159004,1000,32,0.950715658023806,1000,32,1.91938206994808,1000,32,1.37614148774799,1000,32,1.2165420316955,1000,32,1.38395308423007,1000,32,1.05938276215832,1000,32,1.07595681900652,1000,32,1.21032405243005,1000,32,0.982514889614739,1000,32,1.29451056647046,1000,32,1.0917596916715,1000,32,1.01133959779869,1000,32,1.18994452838219,1000
"33",33,0.965245340408623,1000,33,0.961687618192228,1000,33,1.0233234756484,1000,33,0.896129001508459,1000,33,1.13445099742433,1000,33,1.22248078034498,1000,33,0.942172530149615,1000,33,1.06181657652463,1000,33,1.39841682350437,1000,33,1.65662024788102,1000,33,1.13739159431907,1000,33,1.46004189821544,1000,33,1.49940965805751,1000,33,1.46431694734388,1000,33,1.18598393934198,1000,33,1.01789923608245,1000,33,1.02759128561901,1000,33,1.01667509079975,1000,33,1.57898931482445,1000,33,1.02667583801932,1000
"34",34,0.890569870140106,1000,34,0.962833191271086,1000,34,1.02591753669006,1000,34,1.49728829509446,1000,34,1.06778994186934,1000,34,1.07366562508845,1000,34,1.03015442281573,1000,34,1.3671511524311,1000,34,1.14772762244798,1000,34,1.69375862221637,1000,34,0.957545025615861,1000,34,1.19556901739321,1000,34,1.08996860712221,1000,34,1.11817323208643,1000,34,1.27029530970972,1000,34,1.04381181363165,1000,34,1.19105485481758,1000,34,0.968848606611889,1000,34,1.16312895663858,1000,34,1.12711463660871,1000
