task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	35/ceb070	2152958	obtain_dataset_ntc_tuples	COMPLETED	0	2022-06-12 23:49:05.209	38.3s	10.4s	78.7%	386.7 MB	1.1 GB	52.3 MB	19.9 KB
5	0f/0ad57c	2152962	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-670)	COMPLETED	0	2022-06-12 23:49:50.964	3m 18s	3m 13s	91.8%	40.9 GB	41.6 GB	1.6 GB	143.1 KB
9	cd/792e2b	2152966	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-293)	COMPLETED	0	2022-06-12 23:49:54.622	3m 24s	3m 7s	95.2%	40.9 GB	41.6 GB	1.6 GB	146.2 KB
13	5a/eb5f95	2152970	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-2)	COMPLETED	0	2022-06-12 23:49:58.628	3m 40s	3m 15s	95.6%	40.9 GB	41.6 GB	1.6 GB	147.5 KB
17	ec/c76f06	2152974	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-241)	COMPLETED	0	2022-06-12 23:50:02.643	3m 51s	3m 20s	90.8%	40.9 GB	41.6 GB	1.6 GB	124.8 KB
21	56/3992cc	2152978	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-290)	COMPLETED	0	2022-06-12 23:50:06.717	3m 47s	3m 13s	95.9%	40.9 GB	41.6 GB	1.6 GB	137.8 KB
29	24/b71de9	2152987	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-202)	COMPLETED	0	2022-06-12 23:50:14.739	3m 44s	3m 17s	91.6%	40.9 GB	41.6 GB	1.6 GB	148.4 KB
25	01/403efd	2152984	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-531)	COMPLETED	0	2022-06-12 23:50:12.360	4m 1s	3m 53s	95.9%	40.9 GB	41.6 GB	1.6 GB	145.9 KB
45	ed/f255a5	2153003	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-724)	COMPLETED	0	2022-06-12 23:50:30.832	3m 43s	3m 16s	92.7%	40.9 GB	41.6 GB	1.6 GB	144.9 KB
33	25/a5e265	2152991	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-217)	COMPLETED	0	2022-06-12 23:50:18.939	4m	3m 21s	91.4%	40.9 GB	41.6 GB	1.6 GB	138.6 KB
