task_id	hash	native_id	name	status	exit	realtime	peak_vmem	peak_rss
1	d6/646e60	2267776	obtain_dataset_ntc_tuples	COMPLETED	0	11.6s	1 GB	370.5 MB
13	50/6fcb82	2267787	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 56s	38.7 GB	38 GB
20	26/2cd9fb	2267794	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 52s	38.7 GB	38 GB
27	5b/c98521	2267801	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 1s	38.7 GB	38 GB
34	30/4a4dbc	2267809	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 36s	38.7 GB	38 GB
2407	d1/a9a6fd	2267978	run_method (schraivogel/ground_truth_tapseq/gene+weissman_method)	COMPLETED	0	12.2s	1.1 GB	395.5 MB
55	be/11243f	2267830	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 28s	38.7 GB	38 GB
69	62/c58c54	2267844	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 34s	38.7 GB	38 GB
6	49/2aafa3	2267780	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 43s	38.7 GB	38 GB
41	a4/0c5443	2267815	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 40s	38.7 GB	38 GB
48	9c/aa6c8e	2267824	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 16s	38.7 GB	38 GB
76	86/458d95	2267851	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 37s	38.7 GB	38 GB
90	8f/70f402	2267864	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 47s	38.7 GB	38 GB
104	d7/462c7e	2267880	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 54s	38.7 GB	38 GB
111	5c/54115a	2267887	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 42s	38.7 GB	38 GB
132	37/93d398	2267908	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 34s	38.7 GB	38 GB
2408	ca/91e39c	2267977	run_method (schraivogel/ground_truth_tapseq/gene+permutation_test)	COMPLETED	0	1m 7s	1.1 GB	390.1 MB
62	11/3af345	2267837	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m 35s	38.7 GB	38 GB
118	e9/c0073c	2267893	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 49s	38.7 GB	38 GB
139	ea/0e4336	2267914	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 49s	38.7 GB	38 GB
2489	7c/a73f52	2267990	run_method (schraivogel/ground_truth_tapseq/gene+liscovitch_method)	COMPLETED	0	12.4s	1.1 GB	410.9 MB
2491	4f/9f5731	2267992	run_method (schraivogel/ground_truth_tapseq/gene+weissman_method)	COMPLETED	0	12.4s	1.1 GB	446.7 MB
2487	ab/26a19c	2267988	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method)	COMPLETED	0	33.9s	1.8 GB	1000.1 MB
2488	38/1cde61	2267989	run_method (schraivogel/ground_truth_tapseq/gene+seurat_de)	COMPLETED	0	18.4s	1.2 GB	411.5 MB
83	5b/2175a2	2267858	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m 20s	38.7 GB	38 GB
2409	41/b854b5	2267979	run_method (schraivogel/ground_truth_tapseq/gene+nb_regression)	COMPLETED	0	1m 46s	1.1 GB	411.9 MB
146	20/985bec	2267922	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 58s	38.7 GB	38 GB
97	49/7f72ca	2267871	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m 25s	38.7 GB	38 GB
125	52/47ef3d	2267900	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m 30s	38.7 GB	38 GB
153	a4/249906	2267927	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 41s	38.7 GB	38 GB
160	9f/b65098	2267935	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 48s	38.7 GB	38 GB
167	b3/06fdae	2267942	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 51s	38.7 GB	38 GB
174	28/f62336	2267948	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 41s	38.7 GB	38 GB
181	f8/aacc27	2267955	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m 10s	38.7 GB	38 GB
1948	29/9168b3	2268006	run_method (schraivogel/enhancer_screen_chr8/gene+schraivogel_method)	COMPLETED	0	1m 9s	2.9 GB	2 GB
1947	ec/fe2de0	2268007	run_method (schraivogel/enhancer_screen_chr8/gene+nb_regression)	COMPLETED	0	53.7s	4.4 GB	3.6 GB
188	08/a88831	2267964	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 36s	38.7 GB	38 GB
1709	77/f68266	2268010	run_method (schraivogel/enhancer_screen_chr11/gene+nb_regression)	COMPLETED	0	1m 6s	4.2 GB	3.5 GB
1962	6a/a285e1	2268012	run_method (schraivogel/enhancer_screen_chr8/gene+schraivogel_method)	COMPLETED	0	1m 17s	2.7 GB	1.9 GB
1607	16/e4293e	2268013	run_method (papalexi/eccite_screen/protein+liscovitch_method)	COMPLETED	0	10.6s	1 GB	345 MB
1608	97/91ffbc	2268014	run_method (papalexi/eccite_screen/protein+mimosca)	COMPLETED	0	14s	1.1 GB	423.4 MB
1987	79/670315	2268015	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method)	COMPLETED	0	26.8s	4.4 GB	3.7 GB
195	d4/992951	2267970	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 51s	38.7 GB	38 GB
1885	40/757eaa	2268019	run_method (schraivogel/enhancer_screen_chr8/gene+schraivogel_method)	COMPLETED	0	1m 23s	2.7 GB	1.9 GB
16	00/2c5fb8	2267790	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	14m 52s	25.7 GB	24.9 GB
23	3c/3be37b	2267799	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	14m 58s	25.7 GB	24.9 GB
202	53/639c21	2267976	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 41s	38.7 GB	38 GB
2426	0a/ed5859	2268021	run_method (schraivogel/ground_truth_tapseq/gene+liscovitch_method)	COMPLETED	0	11.6s	1.1 GB	410.9 MB
1984	82/fc7051	2267987	run_method (schraivogel/enhancer_screen_chr8/gene+seurat_de)	COMPLETED	0	54.4s	4.5 GB	3.7 GB
881	8d/b65970	2267981	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 52s	27.4 GB	26.7 GB
1557	8d/900d38	2268003	run_method (papalexi/eccite_screen/gene+seurat_de)	COMPLETED	0	10m 45s	5.1 GB	4.3 GB
1963	e5/886110	2268011	run_method (schraivogel/enhancer_screen_chr8/gene+seurat_de)	COMPLETED	0	56.5s	4.5 GB	3.7 GB
1000	73/2ff7a9	2267982	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 41s	27.4 GB	26.7 GB
37	c1/37c94c	2267812	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 25s	25.7 GB	24.9 GB
51	d2/706ecb	2267826	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 27s	25.7 GB	24.9 GB
72	a3/62ca82	2267847	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 19s	25.7 GB	24.8 GB
79	de/266e15	2267853	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 16s	25.7 GB	24.9 GB
30	03/27c329	2267806	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 56s	26.4 GB	25.5 GB
9	a4/eddfa6	2267784	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 10s	25.7 GB	24.9 GB
142	4f/2fa702	2267918	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	15m 33s	25.7 GB	24.9 GB
149	8f/7b0440	2267923	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	15m 32s	25.7 GB	24.9 GB
128	e2/30c45a	2267902	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 5s	26.3 GB	25.5 GB
44	0b/85610e	2267819	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 10s	25.7 GB	24.9 GB
2	7c/4affbc	2267778	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 24s	25.7 GB	24.9 GB
58	5e/f5c721	2267833	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 4s	25.7 GB	24.9 GB
65	f4/83f8fe	2267841	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 4s	26.3 GB	25.5 GB
2373	2f/cce47a	2268031	run_method (schraivogel/ground_truth_tapseq/gene+permutation_test)	COMPLETED	0	1m 8s	1.1 GB	392.1 MB
1604	9c/b16567	2268039	run_method (papalexi/eccite_screen/protein+nb_regression)	COMPLETED	0	13.6s	1.1 GB	393.8 MB
1252	ed/9a912a	2267983	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	3m 37s	41.7 GB	41 GB
93	c7/e50ee9	2267868	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 19s	25.7 GB	24.9 GB
2505	6b/78761b	2268032	run_method (simulated/experiment_1/gene+weissman_method)	COMPLETED	0	2m 20s	16 GB	15.3 GB
86	30/4b4fd7	2267860	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	20m 4s	25.7 GB	24.9 GB
100	3a/0ea3bc	2267875	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	20m 14s	25.7 GB	24.8 GB
107	81/a3c022	2267882	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	20m 31s	25.7 GB	24.9 GB
121	65/532e30	2267896	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	20m 14s	25.7 GB	24.9 GB
2347	20/9e37d5	2268044	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method)	COMPLETED	0	42.2s	1.8 GB	1007.1 MB
2480	3f/b4c869	2268045	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method)	COMPLETED	0	37s	1.8 GB	971.7 MB
1731	44/02406d	2268040	run_method (schraivogel/enhancer_screen_chr11/gene+schraivogel_method)	COMPLETED	0	1m 10s	2.7 GB	1.8 GB
191	7d/962b1c	2267965	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	15m 18s	25.7 GB	24.9 GB
2404	e4/33c5ad	2268053	run_method (schraivogel/ground_truth_tapseq/gene+seurat_de)	COMPLETED	0	18.4s	1.2 GB	414.6 MB
2405	90/906e0a	2268054	run_method (schraivogel/ground_truth_tapseq/gene+liscovitch_method)	COMPLETED	0	13s	1.1 GB	410.9 MB
2120	06/1e1414	2268030	run_method (schraivogel/ground_truth_perturbseq/gene+weissman_method)	COMPLETED	0	3m 12s	29.8 GB	29.1 GB
156	a9/139ab8	2267933	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 26s	25.7 GB	24.9 GB
2025	03/07c0e3	2268050	run_method (schraivogel/enhancer_screen_chr8/gene+schraivogel_method)	COMPLETED	0	1m 4s	2.7 GB	1.9 GB
135	64/d1bdec	2267909	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	21m 16s	25.7 GB	24.9 GB
2024	72/7798a4	2268049	run_method (schraivogel/enhancer_screen_chr8/gene+nb_regression)	COMPLETED	0	47.8s	4.4 GB	3.6 GB
2403	e7/0f1f21	2268052	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method)	COMPLETED	0	41.4s	1.8 GB	1001.7 MB
114	7b/67a445	2267889	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	21m 49s	25.7 GB	24.9 GB
163	27/1fa3d3	2267938	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 56s	25.7 GB	24.9 GB
170	2f/dae881	2267945	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 54s	25.4 GB	24.5 GB
1497	67/9ffbaf	2268038	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	4m 7s	41.7 GB	41 GB
2302	af/b5cfa2	2268064	run_method (schraivogel/ground_truth_tapseq/gene+weissman_method)	COMPLETED	0	12.1s	1.1 GB	429.5 MB
24	53/305d6f	2267798	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	23m 41s	10.5 GB	9.7 GB
2402	42/935cd2	2268051	run_method (schraivogel/ground_truth_tapseq/gene+nb_regression)	COMPLETED	0	1m 43s	1.1 GB	411.7 MB
52	4e/934d4d	2267827	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 2s	10.5 GB	9.7 GB
10	28/d3bd7a	2267785	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 57s	10.5 GB	9.7 GB
17	11/bea58e	2267791	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 35s	10.5 GB	9.7 GB
3	5f/e61420	2267777	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 21s	10.5 GB	9.7 GB
94	69/565a85	2267870	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 11s	10.5 GB	9.7 GB
45	08/9859ed	2267820	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m	10.5 GB	9.7 GB
80	d1/898edc	2267855	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 45s	10.5 GB	9.7 GB
136	c8/73db0b	2267912	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 17s	10.5 GB	9.7 GB
808	23/ea734e	2267996	run_method (frangieh/control/gene+seurat_de)	COMPLETED	0	19m 58s	7.4 GB	6.6 GB
